contents,titles,urls
"Studies have already shown that by irradiating bald skin using red lasers, hair follicles can be stimulated into growing new hair. Unfortunately, though, such laser setups are large, cumbersome and energy-inefficient. With that in mind, scientists have developed a  LED photostimulator.Led by Prof. Keon Jae Lee, scientists from the Korea Advanced Institute of Science and Technology (KAIST) created a flexible array of 900 vertical micro-light-emitting diodes (μLEDs). The whole array fits onto a chip that's ""slightly smaller than a postage stamp,"" is just 20 micrometers thick, and can withstand up to 10,000 bending/unbending cycles.Additionally, the μLEDs don't heat up enough to damage human skin, and use one one-thousandth the power per unit area as a traditional phototherapeutic laser.In lab tests, the device was tested on the shaved backs of mice. After 20 days of 15-minute once-daily treatments, the animals regrew their fur significantly faster than shaved mice that received no treatment, or that were getting hair-growth-promoting minoxidil injections. The μLED-array mice also regrew hair over a wider area, and the hairs were considerably longer.It is now hoped that a larger version of the device could someday be used by humans in their own homes on a daily basis, as opposed to their making trips to use laser systems at clinics.A paper on the research was recently published in the journal , in which images of the μLED array can be seen.Source:  via ",Wearable LED device could regrow hair,https://newatlas.com/led-hair-array/56306/
"January 25, 2005  A humanoid robot developed by the Korea Advanced Institute of Science (KAIST) has significantly bridged the gap between Japan's advanced robotic technologies and the rest of the world, once again affirming that Korea will be a major player in the fast-growing robotics industry. Developed in just three years at a fraction of the cost of the world's most advanced humanoid robot, Honda's Asimo, KAIST's robot will be known as Hubo. Hubo is a 150cm tall, 67 kilogram prodigy with a natural walk, voice recognition and synthesis faculties and advanced vision capabilities with both eyes operating independently. Unlike any previous humanoid, Hubo's on-board intelligence is largely supplemented a wireless connection to a powerful external server.The project is headed by Professor Jun-Ho Oh of the Machine Control Laboratoy in the Department of Mechanical Engineeringat KAIST. Professor Jun-Ho Oh gained his Ph.D at Berkeley  in California in the mid-eighties and only assembled the Hubo project team at the beginning of 2002. The first prototype, known as KHR-1, was complete within eight months and was walking within 12 months.The second major version of the robot (KHR-2) was begun in January 2003, and the third revision, (KHR-3) was begun in January 2004, based on the advanced capabilities of KHR-2, but with greatly improved stability. KHR-3 was subsequently renamed  and was shown to the press for the Korean press for the first time in December.Though not yet as advanced as Honda's Asimo, Hubo is catching up fast - developed at a cost of less than 1 billion won (US$1 million), the robot has 41 degrees of freedom, far more than , which cost more than US$300 million to develop over nearly two decades.An in-depth interview with Professor Jun-Ho Oh can be read at the Korean  site (in English).For a wide ranging coverage of robotic industry developments, visit the .",Korea shows its robotics prowess with a rival for Asimo,https://newatlas.com/korea-shows-its-robotics-prowess-with-a-rival-for-asimo/3638/
"Make no mistake, we are in the middle of a profoundly significant revolution: a shift into the age of artificial intelligence. And while the advances from year to year may seem small and piecemeal, when we look back in 10 or 20 years with the benefit of hindsight, these incremental moments will form key planks in the narrative we craft about how our future world came to be.Late last year  the creation of artificial intelligence could be the biggest event in the history of our civilization, ""… or the worst. We just don't know. So we cannot know if we will be infinitely helped by AI, or ignored by it and side-lined, or conceivably destroyed by it.""2018 was a fascinating year for AI. We experienced a variety of milestone moments, such as the first auction of AI art, and a large assortment of exciting developments that perfectly encapsulate Hawking's prophetic lack of certainty regarding humanity's future relationship with artificial intelligence. In 2018 we paved the way for a future where AI could heal us, harm us, or even teach us. Military uses for artificial intelligence, particularly in the field of autonomous weaponry, seem almost inevitable at this stage. We've seen glimpses of development over the past few years but events in 2018 brought the controversial ethical debate into the foreground.In February  the launch of a new facility that joined up the country's primary research university KAIST, with Hanwha Systems, the country's leading defense company. The goal of the collaboration was to, quite literally, work on the development of AI-based military innovations. The announcement was basically the government saying, ""screw it, we know that you know that we are already doing this, so why bother hiding it."" The Future of Life Institute, a coalition of leading AI researchers,  and pledged a major academic boycott of the university. By April the president of KAIST had capitulated, agreeing the university would not develop lethal autonomous weapons.A few months later, the Future of Life institute , getting 160 AI-related companies and organizations, and over 2,400 researchers and engineers to pledge they would not, ""participate in nor support the development, manufacture, trade, or use of lethal autonomous weapons."" It was a landmark moment that will either stifle the development of autonomous military weapons or simply push those working on these technologies back into the shadows.There is absolutely no doubt AI systems can sift through massive troves of data faster than any human. With the growing volume and complexity of medical data, these systems are proving stunningly effective at recognizing patterns that no human would be able to detect. This year has revealed several incredible algorithmic advances that point to a future where AI systems will be able to effectively diagnose, and treat, a person's medical conditions just by looking at their records. suggested an AI algorithm, trained to evaluate a variety of diagnostic data, could be effective at predicting whether a person is at the very earliest stages of cognitive decline, and if they are likely to significantly deteriorate over the following five years. Another system was trained to predict the social outcomes of patients with depression or psychosis, and in early experiments .Other scientists are developing AI systems to crunch through our immense repositories of clinical research to  in already published papers or . It's not hard to see AI assistants in every aspect of medicine soon, from the earliest stages of clinical research, to the bedside of patients offering doctors diagnostic advice.More than any other country in the world, China is racing to integrate AI systems into its entire social ecosystem, and 2018 revealed the populous nation has already started to test an assortment of striking education-enhancing technologies. In May it was revealed that a high school in Eastern China was  designed to analyze the engagement of students in a class room, in real-time. The ""intelligent classroom behavior management system"" scans the room every 30 seconds logging both the behavior of the students and their facial expressions.An even more provocative story came out of China around the same time, revealing the existence of a  that is being used to automatically grade student essays. It's currently estimated that 60,000 schools are testing the technology, and it can reportedly offer the same grade as a human marker up to 92 percent of the time. One researcher working on the project frighteningly said, ""It has evolved continuously and become so complex, we no longer know for sure what it was thinking and how it made a judgment."" has been quietly bubbling away , with many engineers and computer scientists working on ways to . However, 2018 presented a major milestone with an put up for auction at a major auction house for the very first time. Expected to sell for between US$7,000 and $10,000, the world was stunned when bidding pushed the final sale price up to an astounding $432,500.The artwork itself quickly became mired in controversy with many in the AI world suggesting it was produced by algorithms previously developed by other scientists. This raised entirely new questions over what constitutes originality when a work of art is produced by an algorithm. Can you own the creative output of an algorithm? Whether this was good art, or even art in any sense of the word, is a philosophical argument sure to be debated for years to come, but what we can be sure of is that this AI-generated work will not be the last machine-made portrait to hit the high-end art market.IBM's Watson supercomputer was given 15 years' worth of TV ads that won Cannes Lions International awards for creativity, alongside human emotional response data and company brand guidelines. The goal was to get Watson to spit out a script for a luxury car advertisement. , with the aid of an Oscar-winning filmmaker, and to be honest, it turned out to be one of the most coherent AI-generated pieces of media we've seen to date (skip to 8:30 in the video below to watch the ad).Advertising, more than music, movies, art or entertainment, is the perfect incubation bed for this kind of technology. It's already massively data-driven, for one, and it's one of the few forms of ""creative"" expression directly designed to produce a measurable result in the decision making of its audience. So, while we've seen less than stellar attempts from AI in the past to make a mark in the world of film and television, it seems mastering TV ads is currently where the technology is at.In absolute contrast to the Lexus advertisement,  is a blurry, incoherent, and entirely bonkers short film that also represents a truly stunning achievement in AI artistic creation. Instead of just penning the screenplay for a film or ad, the goal was to let an AI system generate an entire film, including cutting together the whole thing by face-swapping human actors onto old public domain films.The duo behind this crazy project were responsible for another incredible AI production . This time the AI system took the green-screened  actors, chewed up a massive volume of public domain movies, and then created a . The result is not exactly refined but it offers a great indication of what could be done in a decade or two once this kind of technology improves.Shakespearean sonnets are often held up as a pinnacle of English poetic prose, creating rhythmic rhyming patterns within a strict set of parameters. So, of course, a team of researchers set out to create  that could rival those of The Bard.The system was trained on 2,600 sonnets and, while the final results were convincing enough to fool regular laypeople, a serious English literature professor was not so easily fooled, suggesting the AI output could be easily identified from human writing due to its lower emotional impact. Below are two sonnet quatrains, one written by Shakespeare and the other by AI. Can you tell the difference? (The answer is at the end of this article.)Voice assistants, such as Siri and Alexa, are evolving pretty quickly, but this year Google inadvertently sparked an ethical debate by presenting a . The system interacts with Google Assistant, and can essentially engage in simple conversational tasks via phone calls to businesses, such as scheduling a hair salon appointment, or making a reservation at a restaurant.The big hallmark of Google Duplex is the system's ability to conduct natural sounding conversations. The system is programmed to have a quick response time and incorporate what Google refers to as ""speech disfluencies"" to sound more natural. This includes subtly calibrated ""hmm""s and ""uh""s to sound like a real person, and not the rigid mechanical computer voices we are generally used to.Instead of admiration, the general public's response was shock and concern. People debated whether it was ethical for an AI system to pretend to be human, or whether there should be rules stipulating these new systems identify themselves as artificial when communicating with a human. Natural voice interactions with computers were, until this year, just an abstract sci-fi concept depicted in movies where people converse with AI systems such as HAL in . In 2018, for the first time, we had to grapple with the actual reality of this development and ask ourselves what happens when we can't tell if it is a human or an AI on the other end of the line.",From weapons to works of art: The year in artificial intelligence,https://newatlas.com/year-highlights-artificial-intelligence-ai-2018-best-of/57606/
"A lot has been made of the dangers of drones mixing with other aircraft, but one team of engineers is exploring how they can help guard planes from threats rather than present new ones. The work centers on a new algorithm developed specifically to allow a drone to shepherd birds away from flight paths like robotic aerial sheepdogs, and the early results suggest that this could prove an effective way to cut costs and improve safety.Collisions between planes and birds create all sorts of problems, the obvious danger and harm they cause to animal life aside. They mostly strike the aircraft in the engine or windows of the cockpit, and when they do, the pilot is forced to land at the nearest airport to check for damage. This means passengers need to be booked on other flights, which comes at a huge cost. In the UK alone, there were 1,835 confirmed bird strikes in 2016. In North America, bird strikes cost airlines an estimated US$500 million a year.Existing solutions include deploying trained falcons, using recordings of predatory birds, or flying a human-controlled drone into the area to scare the birds away. Now scientists at Imperial College London, together with researchers from Caltech and the Korea Advanced Institute of Science and Technology (KAIST), may have come up with a better way.The effort began with mathematical modeling of the way flocks of birds behave. This involved the dynamics of how the flocks build, how they are maintained, how they respond to threats at their edges and then how that threat is communicated throughout the flock. Based on this modeling, the team then built a herding algorithm that programs flight paths for a drone, specifically laid out to drive birds away from a designated airspace. It does this both without harming the flock and without causing it to disperse. The algorithm was put to the test on flocks of loons and egrets, with the herding drone carrying out a series of maneuvers around the flock to push them away from the protected airspace, while other drones hovered above to film the action for the team's observations. The team found the approach worked well, successfully shepherding flocks of different sizes away as desired. The researchers had expected that the larger the flock, the more difficult it would be to herd, and they were right. The next steps involve looking at how multiple drones can both be used to shepherd larger flocks, and multiple flocks at the same time. ""These are exciting findings,"" said Dr Aditya Paranjape from Imperial College London's Department of Aeronautics. ""We hope that our study will give airport authorities the incentive to seek and develop autonomous drone-based solutions.""The research was published in the journal while the video below provides and overview of the technology.Source:  ",Flying sheepdogs: Herding birds away from planes with autonomous drones,https://newatlas.com/flying-sheepdogs-drones-planes-birds/55846/
"If you build a soft, conformable robot body but then put rigid, unyielding actuators inside of it, you're kind of defeating the whole purpose of the thing. With that in mind, Korean scientists have created pliable artificial muscles for use in soft robotics.Led by Prof. Il-Kwon Oh, researchers at the Korea Advanced Institute of Science and Technology (KAIST) started with one particular type of a two-dimensional, highly electrically-conductive material known as .When it was initially applied to one side of a thin strip of flexible polymer, it caused that strip to bend when an electrical current was applied. Unfortunately, though, because the MXene itself isn't very flexible, bits of it flaked off of the polymer every time it bent.To remedy that problem, the scientists utilized an ""ionic crosslinking"" process to bond the MXene  the polymer. Strips of the resulting composite material bend quickly in response to even relatively low voltage, staying intact and maintaining their strength and conductivity after more than five hours of continuous movement.So far, the technology has been demonstrated in the form of a narcissus-flower-like brooch that opens its petals in response to an electrical current, and robotic butterflies (shown in the video below) that move their wings up and down.""Wearable robotics and kinetic art demonstrate how robotic muscles can have fun and beautiful applications,"" says Oh. ""It also shows the enormous potential for small, artificial muscles for a variety of uses, such as haptic feedback systems and active biomedical devices.""A paper on the research was recently published in the journal .Source: ","Thin-strip ""muscles"" may find use in soft n' squishy robots",https://newatlas.com/artificial-muscles-soft-robotics/
"The Sun is a great source of energy, but of course those rays can be damaging as well. Engineers in Korea have now developed a new way to make perovskite solar cells to protect them from the elements without reducing their efficiency.Perovskite materials are effective at absorbing energy from sunlight, thanks to their crystal structure. They can be modified to absorb more wavelengths of light, making them more efficient. Unfortunately this is also their undoing, making the material more vulnerable to long exposure to heat, moisture, oxygen and light. And that’s a real problem, considering these are made to sit in the Sun all day.So a team of researchers, from Korea Advanced Institute of Science and Technology (KAIST), Seoul National University and Sejong University set out to modify the material to improve its hardiness.To do so, the team carefully mixed in molecules made of phenethylammonium and arranged in two-dimensional layers, inside the perovskite. This boosted both the efficiency and durability of solar cells, including ones made with just perovskite and others where perovskite was laid on top of a silicon layer.The researchers report that their all-perovskite solar cell reached a peak conversion efficiency of 20.7 percent, and retained 80 percent of that after 1,000 hours of continuous light. When paired with silicon, the efficiency rose to 26.7 percent – not far off the  – and had a similar durability.“We developed a high-quality wide bandgap perovskite material and, in combination with silicon solar cells, achieved world-class perovskite-silicon tandem cells,” says Byungha Shin, lead researcher on the study. “Our ultimate goal is to develop ultra-high-efficiency tandem solar cells that contribute to the increase of shared solar energy among all energy sources.”The team says that it plans on pushing the limits of that efficiency, hoping to break past the 30-percent point that’s eluded engineers for years – but remains theoretically possible.The research was published in the journal .Source: ",2D additives make perovskite solar cells more durable in the Sun,https://newatlas.com/energy/perovskite-solar-cells-durable-efficient/
"Corals serve as a host to algae, which in turn produces sugars that the corals consume. Now, though, scientists have created 3D-printed coral that's even more algae-friendly than its natural equivalent – it could help address the problem of coral bleaching, and provide a source of biofuel.The biocompatible synthetic coral was produced via a collaboration between researchers at Cambridge University and the University of California San Diego. They utilized a light-based rapid bioprinting technique, that can produce objects at micrometer-scale resolution within a matter of minutes.Each piece of the printed coral incorporates a skeleton that supports what's described as ""coral-like tissue."" The skeleton is made of a biocompatible polymer gel known as PEGDA, to which cellulose nanocrystals have been added. The tissue, meanwhile, consists of a gelatin-based polymer hydrogel by the name of GelMA, which is combined with living algae cells and more of the cellulose nanocrystals.Thanks to those crystals, along with cup-like shapes and cylindrical structures in the skeleton, the 3D-printed coral is much better than the real thing at absorbing light and directing it to the algae. In fact, when a commercial strain of microalgae called  was incorporated into the material, that algae grew 100 times more densely than it did on natural coral in standard liquid growth mediums.It is now hoped that once developed further, the technology could be utilized in compact, more efficient bioreactors that grow algae for use in biofuels. Additionally, it may help scientists to develop new techniques for mitigating coral bleaching, by better understanding the relationship between corals and their life-giving algae – in bleaching events, that algae is expelled by the coral.The research is described in a paper that was recently published in the journal .And as a side note, this isn't the first 3D-printed coral we've seen. Last year, Israeli scientists created  that reef fish appeared to prefer over the genuine article.Sources: , ",Bioprinted coral outdoes the real thing at growing algae,https://newatlas.com/science/3d-printed-coral-growing-algae/
"While there are already systems that allow smartphones to identify objects by photographing them, such technology doesn't work well in dim light – plus, not everyone wants to bother taking photos. A new system, however, can identify objects simply by knocking a smartphone against them.Developed by scientists at the Korea Advanced Institute of Science and Technology (KAIST), the tech is appropriately enough known as Knocker.It's initially ""trained"" on sample objects, using the phone's existing microphone, gyroscope and accelerometer to learn the specific sounds and vibrations that occur when the phone makes hard contact with each item. When the phone is subsequently knocked against something, it compares that object's sound and vibrations to those that it's learned, looking for a match. If a match is found, then the object is identified.Knocker has already been trained to recognize 23 commonly-used items such as laptop computers, bicycles, books, and water bottles. In its current state of development, it has an identification accuracy rate of 83 percent when used in noisy settings such as roadsides or busy cafes, although that number climbs to 98 percent in quiet locations.Of course, most potential users will already know what the objects that they regularly use . Instead, it is envisioned that Knocker could be utilized for applications such as ordering new bottled water when the phone is knocked against an empty bottle, noting a user's parking location when the phone is knocked against their locked bike, or turning the lights off when knocked against a bed's headboard.""This new technology does not require any specialized sensor or hardware,"" says project leader, Prof. Sung-Ju Lee. ""It simply uses the built-in sensors on smartphones and takes advantage of the power of machine learning. It’s a software solution that everyday smartphone users could immediately benefit from.""More possible uses for the technology are demonstrated in the following video.Source: ",Smartphone tech recognizes objects by being knocked against them,https://newatlas.com/good-thinking/knocker-smartphone-object-recognition/
"Researchers at the Korea Advanced Institute of Science and Technology (KAIST) have developed a promising solid state, thin-film lithium-ion battery that claims the highest energy density ever achieved for a flexible battery. The new design, which showed for the first time that high-performance thin films can be used for flexible batteries, may be commercialized as early as next year.Lithium-ion batteries are a strong candidate for powering the flexible electronics of the future. A high-performance  would be a giant step toward fully-fledged flexible electronics systems and would open the door to flexible e-paper, wearable devices, and better piezoelectric systems that harvest energy from mechanical forces.Research is progressing, but seems to have hit an invisible – though very real – performance wall. This is because most designs employ either low-performance flexible organic materials, or  that take up too much space and decrease the battery's power density. In addition, the cathodes have to be treated at high temperatures to improve performance, but this can't be done effectively on substrates made of flexible polymers.The new approach developed at KAIST uses high energy density inorganic thin films that can be treated at high temperatures, resulting in the highest-performance flexible lithium-ion batteries yet. ""There is no performance difference in energy density, capacity, and cycle life between our flexible battery and bulk batteries,"" Prof. Keon Jae Lee, who led the research efforts, told Gizmag. ""On the contrary, performance is improved by about 10 percent because of the stress release effect.""The batteries are built by sequentially depositing several layers – a current collector, a cathode, an electrolyte, an anode, and a protective layer – on a brittle substrate made of mica. Then, the mica is manually delaminated using adhesive tape, and the battery is enclosed between two polymer sheets to improve mechanical resistance.Bending the battery affects performance, but not to disastrous levels. With the battery constantly bent at a radius of sixteen millimeters (about the same curvature of a fifty-cent coin) the discharge capacity drops by about seven percent after 100 charge-discharge cycles, compared to a three percent drop when the battery is not bent. Voltage was shown to remain almost constant, dropping by a very modest 0.02 V after the battery was bent and released 20,000 times.""The technology for commercializing this battery could come in a relatively short time, about a year,"" says Prof. Lee. But first, the researchers need to find a better, automated way to delaminate the mica substrate – the manual method, involving adhesive tape, is very unpractical and can take up to ten minutes per battery.""We are investigating a laser lift-off [delamination] process to facilitate mass production of large area flexible lithium-ion batteriesr"" says Lee. ""Its feasibility is already proven and will be reported in a later paper.""The team is also interested in stacking the structures on top of each other to improve charge density.A paper describing the battery was recently published on the journal . The video below illustrates the voltage performance of the batteries under mechanical stress.Source: ",Flexible lithium-ion battery technology is on the march,https://newatlas.com/bendable-thin-film-lithium-ion-battery/23656/
" is a parasitic insect that spends much of its life cycle within the body of a host paper wasp, but it's also known for something else – its unusual eye structure. By copying that structure, scientists have created an ultra-slim camera that could allow for the manufacturing of thinner-than-ever smartphones or other imaging devices.Developed by a team from the Korea Advanced Institute of Science and Technology (KAIST), the prototype camera is just 1.4 mm thick and has a diameter of 3.4 mm. Instead of the usual single stack of lens elements, it consists of an array of microprisms, every one of them sitting above a corresponding microlens. Each of these prism/lens combos individually channels light to a single underlying CMOS (complementary metal oxide semiconductor) image sensor. All of these light channels are separated from one another by a light-absorbing material which reduces ""optical crosstalk"" – this is an undesirable phenomenon in which the light signal from one channel interferes with the signal of an adjacent channel.Ultimately, each prism/lens captures a partial image of the subject, from a slightly different perspective. These partials are digitally combined to form a single wide-angle high-resolution shot of the entire subject.""We have proposed a novel method of fabricating an ultrathin camera,"" says lead scientist Prof.  Ki-Hun Jeong. ""As the first insect-inspired, ultrathin camera that integrates a microcamera on a conventional CMOS image sensor array, our study will have a significant impact in optics and related fields.""A paper on the research was recently published in the journal .Source: ",Wasp parasite inspires super-thin camera,https://newatlas.com/wasp-parasite-flat-camera/57845/
