contents,titles,urls
"Daejeon, Republic of Korea, September 8, 2015 -- The Citizen United for Research in Epilepsy (CURE) announced on September 7, 2015, that Jeong Ho Lee, a professor of the Graduate School of Medical Science and Engineering at KAIST (Korea Advanced Institute of Science and Technology), will be awarded the 2015 Pediatric Epilepsies Research Award. The Pediatric Epilepsies Research Award is given annually to a researcher who has conducted novel, innovative research projects that address severe, intractable pediatric epilepsies as well as collaborative, interdisciplinary projects that explore new approaches to find a treatment for pediatric epilepsies.Lee was recognized for his leading study in the field of intractable epilepsy. He is the first Korean who has ever received this award, securing a research grant of USD 250,000 for two years.Lee has conducted research on brain somatic mutations as the novel cause of childhood intractable epilepsy. Pediatric epilepsies account for approximately 70% of all cases of epilepsy.          Established in 1998, CURE is a non-profit American organization based in Chicago, Illinois, which is committed to funding research and various initiatives that will lead to breakthroughs to cure epilepsy.Since its inception, CURE has been at the forefront of epilepsy research, raising more than USD 32 million to support researchers and scientists worldwide. It has also awarded more than 180 cutting-edge projects in 13 countries.         ###              ",Jeong Ho Lee of KAIST receives the 2015 Pediatric Epilepsies Research Award,https://www.eurekalert.org//pub_releases/2015-09/tkai-jhl091015.php
"Daejeon, Republic of Korea, July 2, 2014 - ""Does science lead progress?"" This thought-provoking question will be explored this summer with hundreds of university students gathered from all around the world at the campus of the Korea Advanced Institute of Science and Technology (KAIST), a leading science and technology university in Korea.Established in 2005, the International Conference for Integration of Science, Technology and Society (ICISTS)-KAIST has been hosted every summer for Korean and international university students in Daejeon, Republic of Korea. The conference features distinguished speakers from academia, business, and public sectors and enables participants to exchange views, identify issues affecting science and society, and explore possible solutions.The ICISTS-KAIST is the largest interdisciplinary conference in Asia. It is organized by undergraduate students of KAIST and promotes the idea of a science- and technology-integrated society through international cooperation of college students from diverse backgrounds. Last year alone, about 400 participants from 103 universities in 25 countries attended the conference.Marking the 10th anniversary, the ICISTS-KAIST International Conference 2014 will scrutinize the fundamental aspect of scientific and technological progress versus social advancement under the theme of ""Does Science Lead Progress?"" ""We hope that the conference provides students with an interactive platform to look into some of the essential, yet easily neglected, questions such as the purpose of science and technology education in a broader context of social values,"" said Dong-Yeon Woo, President of Organizing Committee for the ICISTS-KAIST International Conference 2014.Among keynote speakers are Langdon Winner, a professor of Science and Technology Studies at Rensselaer Polytechnic Institute, Stephen Hilgartner, an associate professor of Science and Technology Studies at Cornell University, and Steve Breyman, an associate professor of Science and Technology Studies at Rensselaer Polytechnic Institute. Langdon Winner will speak about the fallacy of the public perception that technological innovation leads to social revolution (his presentation is entitled ""The Myth of Innovation""). Stephen Hilgartner will present four aspects of the politics of vision in today's science and technology (""Science, Technology, and the Politics of Vision""), and Steve Breyman will talk about the origin of scientific deception, misrepresentation, and prevarication (""The Agnotology of Hydrofracking"").The conference lasts five days, beginning on August 4th through August 8th, 2014 at KAIST campus. For participation, regular online application opens until July 11, 2014 at .Jin Ho Park Head of Public Relations, ICISTS Organizing Committee Undergraduate Student, Department of Electrical Engineering, KAISTPhone: +82-10-4590-3369E-mail:               ","The ICIST-KAIST International Conference 2014 from August 4-8, 2014 in Korea",https://www.eurekalert.org//pub_releases/2014-07/tkai-tii070214.php
"A KAIST research team led by Professor Kwang-Hyun Cho of the Department of Bio and Brain Engineering developed technology to find the optimum drug target according to the type of cancer cell. The team used systems biology to analyze molecular network dynamics that reflect genetic mutations in cancer cells and to predict drug response. The technology could contribute greatly to future anti-cancer drug development. There are many types of genetic variations found in cancer cells, including gene mutations and copy number variations. These variations differ in cancer cells even within the same type of cancer, and thus the drug response varies cell by cell. Cancer researchers worked towards identifying frequently occurring genetic variations in cancer patients and, in particular, the mutations that can be used as an index for specific drugs. Previous studies focused on identifying a single genetic mutation or creating an analysis of the structural characteristics of a gene network. However, this approach was limited in its inability to explain the biological properties of cancer which are induced by various gene and protein interactions in cancer cells, which result in differences in drug response. Gene mutations in cancer cells not only affect the function of the affected gene, but also other genes that interact with the mutated gene and proteins. As a consequence, one mutation could lead to changes in the dynamical properties of the molecular network. Therefore, the responses to anti-cancer drugs by cancer cells differ. The current treatment approach that ignores molecular network dynamics and targets a few cancer-related genes is only effective on a fraction of patients, while  many other patients exhibit resistance to the drug. Professor Cho's team integrated a large-scale computer simulation using super-computing and cellular experiments to analyze changes in molecular network dynamics in cancer cells. This led to development of technology to find the optimum drug target according to the type of cancer cells by predicting drug response. This technology was applied to the molecular network of known tumor suppressor p53. The team used large-scale cancer cell genomic data available from The Cancer Cell Line Encyclopedia (CCLE) to construct different molecular networks specific to the characteristics of genetic variations. Perturbation analysis on drug response in each molecular network was used to quantify changes in cancer cells from drug response and similar networks were clustered. Then, computer simulations were used to analyze the synergetic effects in terms of efficacy and combination to predict the level of drug response. Based on the simulation results from various cancer cell lines including lung, breast, bone, skin, kidney, and ovary cancers were used in drug response experiments for compare analysis. This technique can be applied in any molecular network to identify the optimum drug target for personalized medicine. The research team suggests that the technology can analyze varying drug response due to the heterogeneity of cancer cells by considering the overall modulatory interactions rather than focusing only on a specific gene or protein. Further, the technology aids the prediction of causes of drug resistance and thus the identification of the optimum drug target to inhibit the resistance. This could be core source technology that can be used in drug repositioning, a process of applying existing drugs to new disease targets. Professor Cho said, ""Genetic variations in cancer cells are the cause of diverse drug response, but a complete analysis had not yet been made."" He continued, ""Systems biology allowed the simulation of drug responses by cancer cell molecular networks to identify fundamental principles of drug response and optimum drug targets using a new conceptual approach.""###This research was published in  on December 5 and was funded by Ministry of Science and ICT and National Research Foundation of Korea.  	Minsoo Choi and Jue Shi are the lead authors.Dr. Choi and Professor Cho is from the Department of Bio and Brain Engineering at KAIST(Korea Advanced Institute of Science and Technology).Jue Shi is from the Center for Quantitative Systems Biology and Department of Physics at Hong Kong Baptist University.KAIST is the first and top science and technology university in Korea. KAIST was established in 1971 by the Korean government to educate elite scientists and engineers committed to industrialization and economic growth in Korea. Since then, KAIST has been the gateway to advanced science and technology, innovation, and entrepreneurship. KAIST has now emerged as the most innovative global institution with more than 11.5000 students enrolled in five colleges and six schools.KAIST continues to strive for making the world better through the pursuit of excellence in education, convergence research, and globalization.",KAIST team develops technology to find optimum drug target for cancer,https://www.eurekalert.org//pub_releases/2017-12/tkai-ktd121517.php
"A KAIST research team has identified a new mechanism that causes the hallmark symptoms of Parkinson's disease, namely tremors, rigidity, and loss of voluntary movement.The discovery, made in collaboration with Nanyang Technological University in Singapore, presents a new perspective to three decades of conventional wisdom in Parkinson's disease research. It also opens up new avenues that can help alleviate the motor problems suffered by patients of the disease, which reportedly number more than 10 million worldwide. The research was published in  on August 30.The research team was led by Professor Daesoo Kim from the Department of Biological Sciences at KAIST and Professor George Augustine from the Lee Kong Chian School of Medicine which is jointly set up by NTU and Imperial College London. Dr. Jeongjin Kim, a former postdoctoral fellow at KAIST who now works at the Korea Institute of Science and Technology (KIST), is the lead author.It is known that Parkinson's disease is caused by a lack of dopamine, a chemical in the brain that transmits neural signals. However, it remains unknown how the disease causes the motor problems that plague Parkinson's disease patients.Smooth, voluntary movements, such as reaching for a cup of coffee, are controlled by the basal ganglia, which issue instructions via neurons (nerve cells that process and transmit information in the brain) in the thalamus to the cortex. These instructions come in two types: one that triggers a response (excitatory signals) and the other that suppresses a response (inhibitory signals). Proper balance between the two controls movement. A low level of dopamine causes the basal ganglia to severely inhibit target neurons in the thalamus, called an inhibition. Scientists have long assumed that this stronger inhibition causes the motor problems of Parkinson's disease patients.To test this assumption, the research team used optogenetic technology in an animal model to study the effects of this increased inhibition of the thalamus and ultimately movement. Optogenetics is the use of light to control the activity of specific types of neurons within the brain.   They found that when signals from the basal ganglia are more strongly activated by light, the target neurons in the thalamus paradoxically became hyperactive. Called rebound excitation, this hyperactivity produced abnormal muscular stiffness and tremor. Such motor problems are very similar to the symptoms of Parkinson's disease patients. When this hyperactivity of thalamic neurons is suppressed by light, mice show normal movements without Parkinson's disease symptoms. Reducing the levels of activity back to normal caused the motor symptoms to stop, proving that the hyperactivity caused the motor problems experienced by Parkinson's disease patients. Professor Kim at KAIST said, ""This study overturns three decades of consensus on the provenance of Parkinsonian symptoms."" The lead author, Dr. Kim said, ""The therapeutic implications of this study for the treatment of Parkinsonian symptoms are profound. It may soon become possible to remedy movement disorders without using L-DOPA, a pre-cursor to dopamine."" Professor Augustine at NTU added, ""Our findings are a breakthrough, both for understanding how the brain normally controls the movement of our body and how this control goes awry during Parkinson's disease and related dopamine-deficiency disorders.""The study took five years to complete, and includes researchers from the Department of Bio & Brain Engineering at KAIST. The research team will move forward by investigating how hyperactivity in neurons in the thalamus leads to abnormal movement, as well as developing therapeutic strategies for the disease by targeting this neural mechanism.###              ",Researchers from KAIST and NTU Singapore unlock Parkinson's disease,https://www.eurekalert.org//pub_releases/2017-09/tkai-rfk092717.php
"Pohang, Republic of Korea, March 21, 2014 - Earlier today, Korean researchers successfully showcased the installation and operation of a box-shaped, high-pressure tank for the storage of liquefied natural gas in Pohang, Republic of Korea. The development was the first of its kind in the world.     Pressure vessels have many applications and are widely used within the petrochemical, energy, and other industrial sectors where the transport and storage of many types of pressurized gases and fluids are essential. Pressure vessels must be designed, manufactured, installed, and operated strictly in accordance with the appropriate codes and standards since they can, in cases of leak or rupture, pose considerable health and safety hazards. Pressure vessels are normally designed in the form of a cylindrical or spherical tank. These shapes are, in principle, highly efficient in withstanding internal pressure, but rather inefficient in terms of space utilization. The tanks fit very poorly within a typically prismatic-shaped room. They cannot be packed closely together, so they do not efficiently utilize the overall space. Moreover, cylindrical or spherical tanks are not easily scalable to very large sizes because the wall thickness of the tank must increase proportionally to its overall radius. Therefore, a large pressure vessel unavoidably will have very thick walls, which are difficult and expensive to manufacture, requiring a great amount of thick-walled steel to be rolled, forged, and welded together.         KAIST researchers, sponsored by POSCO, a multinational steel-making company based in Pohang, Republic of Korea, have taken a turnabout approach to construct a pressure vessel that is neither cylindrical nor spherical. Professors Pål G. Bergan and Daejun Chang and of Ocean Systems Engineering at KAIST developed a box-type, large size pressure vessel for the storage and transportation of liquids such as liquefied petroleum gas (LPG), compressed natural gas (CNG), or liquefied natural gas (LNG). The box-shaped pressure vessel has an internal, load-carrying lattice-type structure. The lattice pattern is modular in all three spatial directions, thereby effectively anchoring and balancing pressure forces on the external walls of the vessel. The modular lattice can easily be adapted to prescribed pressure levels as the overall volumetric dimensions are directly linked to the number of repetitive modules. A giant prismatic pressure vessel with a size of 20,000 m3 and a design pressure of 10 atmospheres (10 barg) can be built simply by scaling up a smaller size pressure vessel. It is interesting to note that the thickness of steel walls remains unchanged and that the weight of steel per unit storage volume goes down as the vessel size increases.        Professor Chang explained the benefit of a prismatic or box-shaped pressure vessel.""If we use cylindrical pressure vessels to supply LNG fuel for a large container ship, for example, many fuel tanks will be needed. Those tanks will take up large and valuable space onboard because the cylinders have to be lined up. In our case, however, much less space is needed. The operation of a ship becomes simpler with one fuel tank rather than with many. Furthermore, our box-type pressure vessel can be designed with dimensions that precisely fit a ship. For a container ship, there may be room for a substantially higher number of containers to be loaded than when using cylindrical vessels. In a case study on a 13,000 TEU container ship, the value of the increased transport capacity tuned out USD 8.4 million for one year of operation for one ship.""The manufacturing cost of a pressure vessel has been reduced as well. Several types of special steel for cryogenic (low temperature) applications have been investigated in design and analysis studies, and this includes a new type of high-manganese steel that is being developed by POSCO. Regardless of materials, in any instance of large pressure vessels, the new lattice tank technology can offer significant savings of combined capital and operational costs. Professor Bergan was also upbeat regarding the impact of the KAIST technology innovation.   ""Our box-type pressure vessel represents ground-breaking research. This innovative technology will dramatically change the rules of the game for industry concerning production, transportation, and storage of fluids under high pressure and at low temperatures.""The showcased prismatic pressure vessel was a scale-down model with a volume size of 80 m3 and design pressure of 10 atmospheres. The vessel complies with the American Society of Mechanical Engineers (ASME) Boiler and Pressure Vessel Code (BPVC), the international standard for the appropriateness of design, fabrication, and inspection of boilers and pressure vessels. It passed the 15 pressure testing in January 2014 and received an accreditation from the ASME BPVC (ASME U2 Stamp). KAIST's prismatic pressure vessel will be presented and displayed at Gastech 2014, the largest global conference and exhibition in the natural gas, LNG, and hydrocarbons industry. This event will take place on March 24-27 at KINTEX in Ilsan, Republic of Korea.          	Dae-Jun ChangProfessor of Ocean Systems Engineering, KAISTTel: +82-42-350-1514Email: Pål G. BerganProfessor of Ocean Systems Engineering, KAISTTel: +82-42-350-1594Email:               ",Box-shaped pressure vessel for LNG developed by KAIST research team,https://www.eurekalert.org//pub_releases/2014-03/tkai-bpv032114.php
"Daejeon, Republic of Korea, January 16, 2017 - KAIST President Sung-Mo Kang and Distinguished Professor Sang Yup Lee of the Chemical and Biomolecular Engineering Department will participate in the World Economic Forum's (WEF) Annual Meeting (a.k.a., Davos Forum) on January 17-20, 2017, in Davos-Klosters, Switzerland.To be held under the theme ""Responsive and Responsible Leadership,"" the Annual Meeting will offer global leaders from government, business, academia, and civil society a highly interactive platform to address some of the most pressing issues facing the world today, from climate change, economic inequality, to the Fourth Industrial Revolution and its impact on future employment.On January 18, President Kang will participate in the Global University Leaders Forum, a community of top 26 universities invited from around the world, and will discuss the relevance of higher education in the context of the Fourth Industrial Revolution. He will also share KAIST's experiences in developing innovative initiatives to bring future-oriented and creative values into its educational and research programs.On January 19, at the Global Future Council on Production, President Kang will speak about new technologies taking place in traditional production and distribution systems as introduced by the emergence of rapidly evolving technological advancements, and present KAIST's endeavors to transform those changes into opportunities. With an eminent group of scientists, including the Director of the US National Science Foundation France A. Córdova and the Editor-in-Chief Philip Campbell of Nature at the Global Science Outlook session, on January 20, President Kang will discuss key challenges for the global science agenda in the year ahead and examine the role of science in formulating public discussions and polices that will have great impact on society and the lives of people. Currently, Professor Lee is the founding Co-Chair of the WEF's Global Future Council, an interdisciplinary knowledge network dedicated to promoting innovative thinking on the future. On January 20, he will share his insights at an independent session entitled ""World Changing Technology: Biotech and Neurotech,"" briefing the audience on the current state of research, development, and commercialization in these fields, as well as explaining how they will contribute to coping with the Fourth Industrial Revolution.Professor Lee said, ""In recent years, we have seen the world become ever more complex, interconnected, and realigned as it is deeply affected by this unprecedented technological innovations, collectively driving the Fourth Industrial Revolution. One pillar of such innovation will take place in biotechnology and neuroscience, which will help us design solutions to many of global problems such as environment, pandemic diseases, aging, healthcare, and previously intractable illnesses.""President Kang added, ""This year's Davos meeting will focus on the need to foster leadership at the national, regional, and global level to respond collectively with credible actions to issues of major concern for the sustainable and equitable growth, social inclusion, and human development. KAIST has always been a crucial player in these collaborative efforts, and I am happy to share our insights at the upcoming event.""###              ",KAIST to participate in the 2017 Davos Forum,https://www.eurekalert.org//pub_releases/2017-01/tkai-ktp011617.php
"KAIST will participate in Kenya's strategic economic development plan under the provision of a turnkey-based science and technology education consultancy for the establishment of the Kenya Advanced Institute of Science and Technology (Kenya KAIST).KAIST signed the contract on November 30 with the Konza Technopolis Development Authority to establish Kenya KAIST. Korea Eximbank will offer a 95 million USD loan to the Kenyan government for this project. The project will include the educational and architectural design and construction of Kenya KAIST. The campus will be constructed in the Konza Techno City nearby Nairobi by 2021, with the first batch of 200 graduate students starting classes in 2022. KAIST, in consortium with Samwoo and Sunjin architecture and engineering companies, will take the lead of the three-year project, with the kick-off ceremony planned at the end of next January in Nairobi. The Kenyan government plans to transform Kenya into a middle-income country under Vision 2030 through promoting science, technology, and innovation for national economic growth. Nicknamed Africa's Silicon Savannah, Konza Techno City is a strategic science and technology hub to realize this vision. To this end, the medium-term plan set a goal to provide specialized research and training in various leading-edge engineering and advanced science fields.In the two-phase evaluation of the consultancy bidding, KAIST won preferred bidder status in the technical proposal evaluation, outbidding three other Korean consortia. Invited to the financial proposal bidding, the KAIST consortium successfully completed month-long contract negotiations with Kenya last week.KAIST will develop academic curricula for six initial departments (Mechanical Engineering, Electrical/Electronic Engineering, ICT Engineering, Chemical Engineering, Civil Engineering, and Agricultural Biotechnology), which will lay the ground work for engineering research and education in Kenya to meet emerging socioeconomic demands. In addition, KAIST will provide the education of basic sciences of math, physics, chemistry, and biology for students.It is also notable that the Kenyan government asked to develop an industry-academy cooperation program in Konza Techno City. It reflects the growing industrial needs of Kenya KAIST, which will be located in the center of the Konza Technopolis. It is anticipated that the technopolis will create 16,675 jobs in the medium term and over 200,000 after completion, positioning Kenya as an ICT hub within the region.KAIST also shares a similar history of establishment with Kenya KAIST, as it will be built with a foreign loan. KAIST, created by the Korean government in 1971 to drive the economic engine through advancement of science and technology with a six-million USD loan from USAID, has now become a donor institution that hands down science and technology education systems including the construction of campuses to underdeveloped countries.The successful case of KAIST has been benchmarked by many countries for years. For instance, KAIST set up the curriculum of the nuclear engineering program at the Khalifa University of Science and Technology in UAE in 2010. In China, Chongqing University of Technology is running its electrical engineering and computer science programs based on the educational systems and curricula offered by KAIST from 2015. In October, KAIST also signed an MOU with the Prince Mohammad Bin Salman College of Cyber Security, AI, and Advanced Technologies in Saudi Arabia to provide the undergraduate program for robotics.Among all these programs benchmarking KAIST, Kenya KAIST clearly stands out, for it is carrying out a turnkey-based project that encompasses every aspect of institution building ranging from educational curriculum development to campus construction and supervision.President Sung-Chul Shin is extremely excited about finalizing the deal, remarking, ""It is of great significance that KAIST's successful development model has carved out a unique path to becoming a global leading university that will benefit other countries. In only a half century, we have transitioned from a receiver to a donor institution, as the country itself has done.""""KAIST will spare no effort for Kenya KAIST to become a successful science and technology university that will play a crucial role in Kenya's national development. I believe Kenya KAIST will be an exemplary case of an ODA (Official Development Assistance) project based on the development of science and technology to benefit underdeveloped countries,"" he added.###              ",KAIST seals the deal for Kenya KAIST project,https://www.eurekalert.org//pub_releases/2018-12/tkai-kst120218.php
"Daejeon, Republic of Korea, February 22, 2016--President Barack Obama of the United States (US) announced 105 recipients of the 2016 Presidential Early Career Awards for Scientists and Engineers (PECASE) on February 18. Among the awardees was a graduate from the Department of Electrical Engineering at the Korea Advanced Institute of Science and Technology (KAIST).Dr. Jin-Woo Han has worked as a research scientist at the National Aeronautics and Space Administration (NASA) Ames Research Center since graduating from KAIST in 2010. This year, he is the only awardee who received a doctoral degree from a Korean university to become a recipient of the highest honor bestowed by the US government on science and engineering professionals in the early stages of their independent research careers. The awards ceremony will take place in early spring at the White House in Washington, D.C.Dr. Han has been involved in the development of radiation tolerant semiconductor devices as well as radiation and gas sensors under Dr. Meyya Meyyappan, Chief Scientist of the Center for Nanotechnology at NASA Ames Research Center.KAIST and the NASA Ames Research Center made a research collaboration agreement in 2008, under which KAIST has sent 12 post-doctoral fellows to the center to date.The PECASE awards, established in 1996 by President Bill Clinton, are coordinated by the Office of Science and Technology Policy within the Executive Office of the US President. Awardees are selected for their pursuit of innovative research at the frontiers of science and technology and their commitment to community services as demonstrated through scientific leadership, public education, or community outreach.###              ",KAIST graduate receives a 2016 PECASE award from the US government,https://www.eurekalert.org//pub_releases/2016-02/tkai-kgr022216.php
"KAIST, founded through a six-million USD loan from USAID in 1971, to provide turnkey-based education consultancy for Kenya's first advanced science and technology instituteKAIST and the Konza Technopolis Development Authority (KoTDA) announced the official establishment of Kenya-KAIST by 2021 during a kickoff ceremony on February 12 in Kenya. The KAIST delegation headed by President Sung-Chul Shin and Kenyan cabinet members and dignitaries including Minister of Education Amina Mohamed, the Chairman of the KoTDA Reuben Mutiso, and the CEO of KoTDA John Tanui attended the ceremony.With this kickoff held at Konza Technopolis Malili, KAIST, the first and top science and technology university in Korea, will participate in Kenya's strategic economic development plan with the provision of a turnkey-based science and technology education consultancy for the establishment of Kenya's first advanced institute of science and technology. KAIST, which won preferred bidder status in consortium with Samwoo and Sunjin architecture and engineering companies, signed the contract with the KoTDA last November. Korea Eximbank will offer a 95-million USD economic development cooperation fund loan to the Kenyan government. The campus will be constructed in the Konza Techno City located near Nairobi by 2021, with the first batch of 200 graduate students starting classes in 2022. KAIST will develop academic curricula for six initial departments (Mechanical Engineering, Electrical/Electronic Engineering, ICT Engineering, Chemical Engineering, Civil Engineering, and Agricultural Biotechnology), which will lay the groundwork for engineering research and education in Kenya to meet emerging socioeconomic demands. In addition, KAIST will provide education in the basic science areas of math, physics, chemistry, and biology for students.The Kenyan government plans to transform Kenya into a middle-income country under Vision 2030 through the promotion of science, technology, and innovation for national economic growth. Nicknamed Africa's Silicon Savannah, Konza Techno City is a strategic science and technology hub constructed to realize this vision. To this end, the medium-term plan set a goal to provide specialized research and training in various cutting-edge engineering and advanced science fields.It is also notable that the Kenyan government asked to develop an industry-academy cooperation program in the Konza Techno City. This reflects the high expectations for Kenya-KAIST and its role as a growth engine in the center of the Konza Technopolis. It is anticipated that the technopolis will create 16,675 jobs in the medium term and over 200,000 upon completion, positioning Kenya as an ICT hub within the region.Saying that the partnership through Kenya-KAIST will bring a new future to Kenya as well as KAIST at the ceremony, President Shin reflected that the project will be a significant milestone for KAIST's history and global competitiveness. He added, ""With this Kenya project, we come to share the past, present, and future of KAIST. And I am very pleased to celebrate our shared vision: the empowerment of science, technology, and education."" In particular, President Shin was accompanied by Dr. Kun-Mo Chung, a founding provost who served as the Minister of Science and Technology in Korea twice. He now serves as an advisor to Kenyan President Uhuru Kenyatta. Dr. Chung had played a crucial role in securing a six-million USD loan from US AID to the Korean government to establish KAIST in 1971. He proposed the idea to establish an advanced science and technology institute in Korea to Dr. John Hannah, then the director of US AID. The seed that was sowed five decades ago in Korea by Dr. Chung has now fully bloomed in Kenya. In only a half century, KAIST has become a donor institution that passes on science and technology education systems including the construction of campuses to developing countries.KAIST has been acclaimed as US AID's most successful foreign aid project. A report from the National Academy of Sciences in the US described KAIST as an exemplary case in which a former recipient of international aid has grown to become a science, technology and innovation leader.The kickoff of Kenya-KAIST drew the attention of both media and local universities in Kenya, attesting to their strong interest to drive economic growth through advanced science and technology.The University of Nairobi also hosted a special lecture by President Shin, asking him to share the recipe for the success of KAIST in Korea. In a lecture titled ""A Crucial Engine for Rapid National Development,"" President Shin presented the vision, innovation, and passion of the Korean people that led to the phenomenal results we can see today. The successful case of KAIST has been benchmarked by many countries for years. For instance, KAIST set up the curriculum for the nuclear engineering program at the Khalifa University of Science and Technology in UAE in 2010. Since 2015, Chongquing University of Technology in China has been running its electrical engineering and computer science programs based on the educational systems and curricula offered by KAIST. Last October, KAIST also signed an MOU with the Prince Mohammad Bin Salman College of Cyber Security, AI, and Advanced Technologies in Saudi Arabia to provide the undergraduate program for robotics.Among all these programs benchmarking KAIST, Kenya-KAIST clearly stands out, as it carries out a turnkey-based project that encompasses every aspect of institution building, ranging from educational curricular development to campus construction and supervision.###",Kenya-KAIST kicks off with $95 million funding from the Korean government,https://www.eurekalert.org//pub_releases/2019-02/tkai-kko021319.php
"Researchers of KAIST have defined a novel strategy for the secretory production of free haem using engineered Escherichia coli () strains. They utilized the C5 pathway, the optimized downstream pathways, and the haem exporter to construct a recombinant micro-organism producing extracellular haem using fed-batch fermentation. This is the first report to extracellularly produce haem using engineered .This strategy will expedite the efficient production of free haem to serve as a bioavailable iron-supplying agent and an important prosthetic group of multiple hemoproteins for medical uses. This study, led by Distinguished Professor Sang Yup Lee of the Department of Chemical and Biomolecular Engineering at KAIST, was published in  on Aug. 28.Haem, an organometallic compound complexed with a ferrous ion, is an essential molecule delivering oxygen in the blood of many animals. It is also a key component of electron transport chains responsible for the respiration of aerobic organisms including diverse bacteria. It is now being widely applied as a bioavailable iron-supplying agent in the healthcare and dietary supplement industries. The demand for haem and the need for the efficient production of this compound continue to grow.Many previous researchers have attempted to produce free haem using engineered . However, none of the studies was successful in producing free haem extracellularly, requiring an additional step to extract the accumulated haem from cells for subsequent uses. The secretion of haem in the form of haem peptides or proteins also requires an extraction step to isolate the free haem from the secreted products. Thus, the secretory production of free haem is an important task for the economical production of haem that is suitable for human consumption.Although some researchers could produce intracellular haem using recombinant  strains, its final titer was extremely low, resulting from the use of sub-optimal metabolic pathways. Furthermore, the addition of the precursors L-glycine and succinate was deemed undesirable for massive industrial production. Thus, it is necessary to construct an optimized haem biosynthetic pathway to enable the efficient production of haem and examine the consequent secretion of free haem.To address this issue, the KAIST team used multiple strategies to produce extracellular free haem by enhancing its biosynthesis in . First, the capacities of the C4 and C5 pathways to produce aminolevulinate (ALA) without feeding precursors were examined. After confirming the superior performance of the C5 pathway over the C4 pathway, the metabolic genes of the C5 pathway and downstream pathways for haem biosynthesis were overexpressed. Then, the metabolic pathways were optimized by adjusting the expression levels of the relevant genes and disrupting the putative haem degradation enzyme encoded by the yfeX gene. Consequently, the resulting engineered strain secreted a significant amount of haem to the medium. Subsequent optimization of the cultivation conditions and the supplementation of nitrogen sources further increased both the titer of the total free haem and the amount of free haem secreted to the medium. Finally, the overexpression of the ccmABC genes encoding the haem exporter further enhanced the production and secretion of haem, producing the highest titer of haem both intracellularly and extracellularly from glucose.Professor Lee said, ""The eco-friendly and sustainable chemical industry is a key global agenda every nation faces. We are conducting research to bio-synthesize high concentrations, high yields, and high productivity in natural products. This novel technology will serve as an opportunity to advance the biochemical industry moving forward.""###This work was supported by the Technology Development Program to Solve Climate Changes on Systems Metabolic Engineering for Biorefineries (NRF-2012M1A2A2026556 and NR2012M1A2A2026557) from the Ministry of Science and ICT through the National Research Foundation (NRF) of Korea.Further Contact: Dr. Sang Yup Lee, Distinguished Professor, KAIST, Daejeon, Korea (, +82-42-350-3930)",Metabolic engineering of E. coli for the secretory production of free haem,https://www.eurekalert.org//pub_releases/2018-08/tkai-meo082718.php
