contents,titles,urls
"A KAIST research team has developed a gallium-based metal complex enabling the rapid chiral analysis of alcohols. A team working under Professor Hyunwoo Kim reported the efficient new alcohol analysis method using nuclear magnetic resonance (NMR) spectroscopy in iScience.    Enantiopure chiral alcohols are ubiquitous in nature and widely utilized as pharmaceuticals. This importance of chirality in synthetic and medicinal chemistry has advanced the search for rapid and facile methods to determine the enantiomeric purities of compounds. To date, chiral analysis has been performed using high-performance liquid chromatography (HPLC) with chiral columns.    Along with the HPLC technique, chiral analysis using NMR spectroscopy has gained tremendous attention as an alternative to traditionally employed chromatographic methods due to its simplicity and rapid detection for real-time measurement. However, this method carries drawbacks such as line-broadening, narrow substrate scope, and poor resolution. Thus, compared with popular methods of chromatographic analysis, NMR spectroscopy is infrequently used for chiral analysis.    In principle, a chiral solvating agent is additionally required for the NMR measurement of chiral alcohols to obtain two distinct signals. However, NMR analysis of chiral alcohols has been challenging due to weak binding interactions with chiral solvating agents. To overcome the intrinsic difficulty of relatively weak molecular interactions that are common for alcohols, many researchers have used multifunctional alcohols to enhance interactions with solvating agents.    Instead, the KAIST team successfully varied the physical properties of metal complexes to induce stronger interactions with alcohols rather than the strategy of using multifunctional analytes, in the hopes of developing a universal chiral solvating agent for alcohols. Compared to the current method of chiral analysis used in the pharmaceutical industry, alcohols that do not possess chromophores can also be directly analyzed with the gallium complexes.    Professor Kim said that this method could be a complementary chiral analysis technique at the industry level in the near future. He added that since the developed gallium complex can determine enantiomeric excess within minutes, it can be further utilized to monitor asymmetric synthesis. This feature will benefit a large number of researchers in the organic chemistry community, as well as the pharmaceutical industry.    -Profile:      Professor Hyunwoo Kim      Department of Chemistry      KAIST  ",Gallium-Based Solvating Agent Efficiently Analyzes Optically Active Alcohols,https://www.miragenews.com/gallium-based-solvating-agent-efficiently-analyzes-optically-active-alcohols/
"When a fly eats sugar, a single brain cell sends simultaneous messages to stimulate one hormone and inhibit another to control glucose levels in the body. Further research into this control system with remarkable precision could shed light on the neural mechanisms of diabetes and obesity in humans        .      A single neuron appears to monitor and control sugar levels in the fly body, according to research published this week in Nature. This new insight into the mechanisms in the fly brain that maintain a balance of two key hormones controlling glucose levels, insulin and glucagon, can provide a framework for understanding diabetes and obesity in humans.    Neurons that sense and respond to glucose were identified more than 50 years ago, but what they do in our body has remained unclear. Researchers at the Korea Advanced Institute of Science and Technology (KAIST) and New York University School of Medicine have now found a single “glucose-sensing neuron” that appears to be the master controller in Drosophila, the vinegar fly, for maintaining an ideal glucose balance, called homeostasis.    Professor Greg Seong-Bae Suh, Dr. Yangkyun Oh and colleagues identified a key neuron that is excited by glucose, which they called CN neuron. This CN neuron has a unique shape – it has an axon (which is used to transmit information to downstream cells) that is bifurcated. One branch projects to insulin-producing cells, and sends a signal triggering the secretion of the insulin equivalent in flies. The other branch projects to glucagon-producing cells and sends a signal inhibiting the secretion of the glucagon equivalent.    When flies consume food, the levels of glucose in their body increase; this excites the CN neuron, which fires the simultaneous signals to stimulate insulin and inhibit glucagon secretion, thereby maintaining the appropriate balance between the hormones and sugar in the blood. The researchers were able to see this happening in the brain in real time by using a combination of cutting-edge fluorescent calcium imaging technology, as well as measuring hormone and sugar levels and applying highly sophisticated molecular genetic techniques.    When flies were not fed, however, the researchers observed a reduction in the activity of CN neuron, a reduction in insulin secretion and an increase in glucagon secretion. These findings indicate that these key hormones are under the direct control of the glucose-sensing neuron. Furthermore, when they silenced the CN neuron rendering dysfunctional CN neuron in flies, these animals experienced an imbalance, resulting in hyperglycemia – high levels of sugars in the blood, similar to what is observed in diabetes in humans. This further suggests that the CN neuron is critical to maintaining glucose homeostasis in animals.    While further research is required to investigate this process in humans, Suh notes this is a significant step forward in the fields of both neurobiology and endocrinology.    “This work lays the foundation for translational research to better understand how this delicate regulatory process is affected by diabetes, obesity, excessive nutrition and diets high in sugar,” Suh said.Profile: Greg Seong-Bae Suh","A single, master switch for sugar levels?",https://www.miragenews.com/a-single-master-switch-for-sugar-levels/
"    Researchers presented a new strategy for enhancing catalytic activity using tungsten suboxide as a single-atom catalyst (SAC). This strategy, which significantly improves hydrogen evolution reaction (HER) in metal platinum (pt) by 16.3 times, sheds light on the development of new electrochemical catalyst technologies.    Hydrogen has been touted as a promising alternative to fossil fuels. However, most of the conventional industrial hydrogen production methods come with environmental issues, releasing significant amounts of carbon dioxide and greenhouse gases.    Electrochemical water splitting is considered a potential approach for clean hydrogen production. Pt is one of the most commonly used catalysts to improve HER performance in electrochemical water splitting, but the high cost and scarcity of Pt remain key obstacles to mass commercial applications.    SACs, where all metal species are individually dispersed on a desired support material, have been identified as one way to reduce the amount of Pt usage, as they offer the maximum number of surface exposed Pt atoms.    Inspired by earlier studies, which mainly focused on SACs supported by carbon-based materials, a KAIST research team led by Professor Jinwoo Lee from the Department of Chemical and Biomolecular Engineering investigated the influence of support materials on the performance of SACs.    Professor Lee and his researchers suggested mesoporous tungsten suboxide as a new support material for atomically dispersed Pt, as this was expected to provide high electronic conductivity and have a synergetic effect with Pt.    They compared the performance of single-atom Pt supported by carbon and tungsten suboxide respectively. The results revealed that the support effect occurred with tungsten suboxide, in which the mass activity of a single-atom Pt supported by tungsten suboxide was 2.1 times greater than that of single-atom Pt supported by carbon, and 16.3 times higher than that of Pt nanoparticles supported by carbon.    The team indicated a change in the electronic structure of Pt via charge transfer from tungsten suboxide to Pt. This phenomenon was reported as a result of strong metal-support interaction between Pt and tungsten suboxide.    HER performance can be improved not only by changing the electronic structure of the supported metal, but also by inducing another support effect, the spillover effect, the research group reported. Hydrogen spillover is a phenomenon where adsorbed hydrogen migrates from one surface to another, and it occurs more easily as the Pt size becomes smaller.    The researchers compared the performance of single-atom Pt and Pt nanoparticles supported by tungsten suboxide. The single-atom Pt supported by tungsten suboxide exhibited a higher degree of hydrogen spillover phenomenon, which enhanced the Pt mass activity for hydrogen evolution up to 10.7 times compared to Pt nanoparticles supported by tungsten suboxide.    Professor Lee said, “Choosing the right support material is important for improving electrocatalysis in hydrogen production. The tungsten suboxide catalyst we used to support Pt in our study implies that interactions between the well-matched metal and support can drastically enhance the efficiency of the process.”    This research was supported by the Ministry of Science and ICT and introduced in the International Edition of the German journal         Angewandte Chemie    .﻿    Figure. Schematic representation of hydrogen evolution reaction (HER) of pseudo single-atom Pt supported by tungsten suboxide        Publication:    Jinkyu Park, Dr. Seonggyu Lee, Hee-Eun Kim, Ara Cho, Seongbeen Kim, Dr. Youngjin Ye, Prof. Jeong Woo Han, Prof. Hyunjoo Lee, Dr. Jong Hyun Jang, and Prof. Jinwoo Lee. 2019. Investigation of the Support Effect in Atomically Dispersed Pt on WO3−x for Utilization of Pt in the Hydrogen Evolution Reaction. International Edition of Angewandte Chemie. Volume No. 58. Issue No. 45. 6 pages.            Link to download the full-text paper:        Profile: Prof. Jinwoo Lee, MS, PhD",Tungsten Suboxide Improves Efficiency of Platinum in Hydrogen Production,https://www.miragenews.com/tungsten-suboxide-improves-efficiency-of-platinum-in-hydrogen-production/
,AI to Determine When to Intervene with Your Driving,https://www.miragenews.com/ai-to-determine-when-to-intervene-with-your-driving/
,A Mathematical Model Reveals Long-Distance Cell Communication Mechanism,https://www.miragenews.com/a-mathematical-model-reveals-long-distance-cell-communication-mechanism/
"Many commercial films worldwide continue to express womanhood in a stereotypical manner, a recent study using image analysis showed. A KAIST research team developed a novel image analysis method for automatically quantifying the degree of gender bias in in films.    The ‘Bechdel Test’ has been the most representative and general method of evaluating gender bias in films. This test indicates the degree of gender bias in a film by measuring how active the presence of women is in a film. A film passes the Bechdel Test if the film (1) has at least two female characters, (2) who talk to each other, and (3) their conversation is not related to the male characters.    However, the Bechdel Test has fundamental limitations regarding the accuracy and practicality of the evaluation. Firstly, the Bechdel Test requires considerable human resources, as it is performed subjectively by a person. More importantly, the Bechdel Test analyzes only a single aspect of the film, the dialogues between characters in the script, and provides only a dichotomous result of passing the test, neglecting the fact that a film is a visual art form reflecting multi-layered and complicated gender bias phenomena. It is also difficult to fully represent today’s various discourse on gender bias, which is much more diverse than in 1985 when the Bechdel Test was first presented.    Inspired by these limitations, a KAIST research team led by Professor Byungjoo Lee from the Graduate School of Culture Technology proposed an advanced system that uses computer vision technology to automatically analyzes the visual information of each frame of the film. This allows the system to more accurately and practically evaluate the degree to which female and male characters are discriminatingly depicted in a film in quantitative terms, and further enables the revealing of gender bias that conventional analysis methods could not yet detect.    Professor Lee and his researchers Ji Yoon Jang and Sangyoon Lee analyzed 40 films from Hollywood and South Korea released between 2017 and 2018. They downsampled the films from 24 to 3 frames per second, and used Microsoft’s Face API facial recognition technology and object detection technology YOLO9000 to verify the details of the characters and their surrounding objects in the scenes.    Using the new system, the team computed eight quantitative indices that describe the representation of a particular gender in the films. They are: emotional diversity, spatial staticity, spatial occupancy, temporal occupancy, mean age, intellectual image, emphasis on appearance, and type and frequency of surrounding objects.    Figure 1. System Diagram    Figure 2. 40 Hollywood and Korean Films Analyzed in the Study    According to the emotional diversity index, the depicted women were found to be more prone to expressing passive emotions, such as sadness, fear, and surprise. In contrast, male characters in the same films were more likely to demonstrate active emotions, such as anger and hatred.    Figure 3. Difference in Emotional Diversity between Female and Male Characters    The type and frequency of surrounding objects index revealed that female characters and automobiles were tracked together only 55.7 % as much as that of male characters, while they were more likely to appear with furniture and in a household, with 123.9% probability.    In cases of temporal occupancy and mean age, female characters appeared less frequently in films than males at the rate of 56%, and were on average younger in 79.1% of the cases. These two indices were especially conspicuous in Korean films.    Professor Lee said, “Our research confirmed that many commercial films depict women from a stereotypical perspective. I hope this result promotes public awareness of the importance of taking prudence when filmmakers create characters in films.”    This study was supported by KAIST College of Liberal Arts and Convergence Science as part of the Venture Research Program for Master’s and PhD Students, and will be presented at the 22nd ACM Conference on Computer-Supported Cooperative Work and Social Computing (CSCW) on November 11 to be held in Austin, Texas.        Publication:    Ji Yoon Jang, Sangyoon Lee, and Byungjoo Lee. 2019. Quantification of Gender Representation Bias in Commercial Films based on Image Analysis. In Proceedings of the 22nd ACM Conference on Computer-Supported Cooperative Work and Social Computing (CSCW). ACM, New York, NY, USA, Article 198, 29 pages.                 https://doi.org/10.1145/3359300            Link to download the full-text paper:            https://files.cargocollective.com/611692/cscw198-jangA–1-.pdf            Profile: Prof. Byungjoo Lee, MD, PhD",Image Analysis to Automatically Quantify Gender Bias in Movies,https://www.miragenews.com/image-analysis-to-automatically-quantify-gender-bias-in-movies/
"The research team led by Professor Youngjin Park of the Department of Mechanical Engineering has developed a road noise active noise control (RANC) system to be commercialized in partnership with Hyundai Motor Group.    On December 11, Hyundai Motor Group announced the successful development of the RANC system, which significantly reduces the road noise flowing into cars. The carmaker has completed the domestic and American patent applications for the location of sensors and the signal selection method, the core technology of RANC.    RANC is a technology for reducing road noise during driving. This system consists of an acceleration sensor, digital signal processor (the control computer to analyze sound signals), microphone, amplifier, and audio system. To make the system as simple as possible, the audio system utilizes the original audio system embedded in the car instead of a separate system.    The acceleration sensor first calculates the vibration from the road into the car. The location of the sensor is important for accurately identifying the vibration path. The research team was able to find the optimal sensor location through a number of tests.    The System Dynamics and Applied Control Laboratory of Professor Park researched ways to significantly reduce road noise with Hyundai Motor Group for four years from 1993 as a G7 national project and published the results in international journals. In 2002, the researchers published an article titled “Noise Quietens Driving” in Nature, where they announced the first success in reducing road noise in actual cars. The achievement did not lead to commercialization, however, due to the lack of auxiliary technologies at the time, digital amplifiers and DSP for cars for example, and pricing issues.    Since 2013, Professor Park’s research team has participated in one technology transfer and eight university-industry projects. Based on these efforts, the team was able to successfully develop the RANC system with domestic technology in partnership with Hyundai’s NVH Research Lab (Research Fellow, Dr. Gangdeok Lee; Ph.D. in aviation engineering, 1996), Optomech (Founder, Professor Gyeongsu Kim; Ph.D. in mechanical engineering, 1999), ARE (CEO Hyeonseok Kim; Ph.D. in mechanical engineering, 1998), WeAcom, and BurnYoung.    Professor Park’s team led the project by performing theory-based research during the commercialization stage in collaboration with Hyundai Motor Group.    For the commercialization of the RANC system, Hyundai Motor Group is planning to collaborate with the global car audio company Harman to increase the degree of completion and apply the RANC system to the GV 80, the first SUV model of the Genesis brand.    “I am very delighted as an engineer to see the research I worked on from my early days at KAIST be commercialized after 20 years,” noted Professor Park. “I am thrilled to make a contribution to such commercialization with my students in my lab.”",A System Controlling Road Active Noise to Hit Road,https://www.miragenews.com/a-system-controlling-road-active-noise-to-hit-road/
"Soft pressure sensors have received significant research attention in a variety of fields, including soft robotics, electronic skin, and wearable electronics. Wearable soft pressure sensors have great potential for the real-time health monitoring and for the early diagnosis of diseases.    A KAIST research team led by Professor Inkyu Park from the Department of Mechanical Engineering developed a highly sensitive wearable pressure sensor for health monitoring applications. This work was reported in Advanced Healthcare Materials on November 21 as a front cover article.    This technology is capable of sensitive, precise, and continuous measurement of physiological and physical signals and shows great potential for health monitoring applications and the early diagnosis of diseases.    A soft pressure sensor is required to have high compliance, high sensitivity, low cost, long-term performance stability, and environmental stability in order to be employed for continuous health monitoring. Conventional solid-state soft pressure sensors using functional materials including carbon nanotubes and graphene have showed great sensing performance. However, these sensors suffer from limited stretchability, signal drifting, and long-term instability due to the distance between the stretchable substrate and the functional materials.    To overcome these issues, liquid-state electronics using liquid metal have been introduced for various wearable applications. Of these materials, Galinstan, a eutectic metal alloy of gallium, indium, and tin, has great mechanical and electrical properties that can be employed in wearable applications. But today’s liquid metal-based pressure sensors have low-pressure sensitivity, limiting their applicability for health monitoring devices.    The research team developed a 3D-printed rigid microbump array-integrated, liquid metal-based soft pressure sensor. With the help of 3D printing, the integration of a rigid microbump array and the master mold for a liquid metal microchannel could be achieved simultaneously, reducing the complexity of the manufacturing process. Through the integration of the rigid microbump and the microchannel, the new pressure sensor has an extremely low detection limit and enhanced pressure sensitivity compared to previously reported liquid metal-based pressure sensors. The proposed sensor also has a negligible signal drift over 10,000 cycles of pressure, bending, and stretching and exhibited excellent stability when subjected to various environmental conditions.    These performance outcomes make it an excellent sensor for various health monitoring devices. First, the research team demonstrated a wearable wristband device that can continuously monitor one’s pulse during exercise and be employed in a noninvasive cuffless BP monitoring system based on PTT calculations. Then, they introduced a wireless wearable heel pressure monitoring system that integrates three 3D-BLiPS with a wireless communication module.    Professor Park said, “It was possible to measure health indicators including pulse and blood pressure continuously as well as pressure of body parts using our proposed soft pressure sensor. We expect it to be used in health care applications, such as the prevention and the monitoring of the pressure-driven diseases such as pressure ulcers in the near future. There will be more opportunities for future research including a whole-body pressure monitoring system related to other physical parameters.”    This work was supported by a National Research Foundation of Korea (NRF) grant funded by the Ministry of Science and ICT.Profile: Prof. Inkyu Parkinkyu@kaist.ac.krMicro/Nano Transducers LaboratoryDepartment of Mechanical EngineeringKAIST",New Liquid Metal Wearable Pressure Sensor Created for Health Monitoring Applications,https://www.miragenews.com/new-liquid-metal-wearable-pressure-sensor-created-for-health-monitoring-applications/
"A man has been charged with dangerous driving occasioning death after two teenaged boys died in a crash in Sydney’s south-west this morning.Just after 4.20am (Sunday 1 November 2020), emergency services were called to the intersection of Cowpasture Road and The Horsley Drive, Abbotsbury, after a Holden SS Commodore hit a pole; two boys, aged 15 and 17, died at the scene and a third, aged 17, remains in hospital.Officers from Fairfield City Police Area Command established a crime scene,assisted by Liverpool City police, with the Crash Investigation Unit now conducting the inquiry.A 37-year-old man was arrested at the scene and taken to Fairfield Police Station, where officers from the Crash Investigation Unit charged him with five offences•             Dangerous driving occasioning death – drive manner dangerous (two counts)•             Dangerous driving occasioning grievous bodily harm – drive manner dangerous•             Negligent driving (occasioning death) (two counts)Police will allege the car was stolen from a home at Edmondson Park prior to the crash.The man, from Edmondson Park, has been granted bail to appear in Liverpool Local Court on Wednesday 25 November 2020.","Police charge man after two die, one injured in Abbotsbury crash",https://www.miragenews.com/police-charge-man-after-two-die-one-injured-in-abbotsbury-crash/
"A man has been shot by police following an overnight siege at Walloon.Police attended a rural property on Kingsley Street at around 2.50am (November 1).The 55-year-old man held police at bay, allegedly intermittently firing at officers, with an emergency declaration made under the Public Safety Preservation Act at 8.50am.It will be alleged at around 11.35am the man fired at police and was shot.The man was transported to the Princess Alexandra Hospital where he underwent surgery.The Ethical Standards Command is investigating with the assistance of the Crime and Corruption Commission.The emergency declaration was revoked this afternoon.Earlier – Police have made an emergency declaration under the Public Safety Preservation Act (PSPA) in relation to an incident taking place in Walloon.At 2.50am today (November 1) police attended a rural property on Kingsley Street in relation to a welfare check on a man.Upon arrival, police attempted to locate a man who they believed to be in a shed by himself.After negotiations an emergency situation was declared at 8.45am after the man, who is armed, fired several shots, including at police.The area declared includes, Haigslea Amberley Road, Bell Street, Kingsley Street, Kinmouth Street, Station Lane, Short Street and Stocks Lane.Specialist police are in attendance and police continue to attempt to negotiate with the man.Motorists and pedestrians are advised to avoid the area. Traffic diversions are in place.There is no further information available at this time.If you have information for police, contact  by providing information using the  24hrs per day at .You can report information about crime anonymously to , a registered charity and community volunteer organisation, via  24hrs per day.",Police update 1: Man shot after Walloon siege,https://www.miragenews.com/police-update-1-man-shot-after-walloon-siege/
