contents,titles,urls
" U.S. imaging solution company Cellect LLC has filed a patent infringement lawsuit against Samsung Electronics Co., the latest to join the growing list of names engaged in patent lawsuits with the South Korean semiconductor and IT giant. According to sources on Thursday, Cellect demanded a jury trial from a federal court in Colorado in its filing against Samsung Electronics in Seoul and Samsung Electronics America last month. A jury trial is not entitled to dismissal of the lawsuit. Cellect claims Samsung manufactured and sold smartphones and tablets by using its technology related to CMOS (complementary metal oxide semiconductor) image sensing, which is widely used inside smartphones and digital cameras for its fast data conversion speed and low power consumption. Cellect targets a wide range of Samsung products based on the punitive remedy under Section 284 of the U.S. Patent Act, which grants federal judges the discretion to increase the damages up to three times the amount found or assessed. Samsung Electronics has become a major target of patent litigation in Korea and elsewhere since last year. Taiwan’s CyWee Group filed a suit against the company for patent infringement on a particular combination of sensors of a 3D pointing device, while U.S. data encryption firm PACid Technologies sued Samsung Electronics, claiming the latest Galaxy S phones have infringed its patents related to biometric solutions. Early last month KAIST IP, the licensing arm of the Korea Advanced Institute of Science and Technology (KAIST), also filed a patent suit against Samsung, claiming its 3-dimensional semiconductor process technology was infringed by the company. Market watchers say Samsung Electronics may face additional patent lawsuits from tech companies or patent trolls seeking huge compensations, given the Korean tech giant’s market position and profitability in the global semiconductor market. Shares of Samsung Electronics finished Friday up 0.8 percent at 44,200 won ($38.86).                                                                                                            ",Samsung Elec plagued by series of patent litigations,https://pulsenews.co.kr/view.php?year=2019&no=156750
" Korea Advanced Institute of Science & Technology (KAIST) has taken the top spot among Korean universities in the latest Times Higher Education (THE) Asia University Rankings published on Wednesday. KAIST was ranked eighth in Asia, and followed by Seoul National University or SNU (second in Korea, ninth in Asia) and POSTECH (third in Korea, tenth in Asia). This is the first time that KAIST has attained the top position in Korea in this ranking of Asian universities since it was introduced in 2013. The university jumped two spots from last year to rank first in Korea with outstanding improvement in the category of teaching and research. SNU remained at second position while POSTECH fell by one rank to third. The top five positions in Asia were claimed by universities in Singapore, China and Hong Kong. The National University of Singapore (NUS) topped the Asian list for two consecutive years. China’s Peking University and Tsinghua University took the second and third spots, respectively. The fourth place was taken by Singapore’s Nanyang Technological University (NTU), the fifth by University of Hong Kong and the sixth by its neighbor Hong Kong University of Science and Technology (HKUST). Tokyo University which took pole position in the 2015 Asian rankings ranked seventh this year for two straight years.  Three Korean universities entered the Asia’s top 10 and a total of 15 were included in the top 100, up by two from 13 in 2016. But Korea still has a long way to go as its top three schools stay among the lowest in the top 10 Asian universities. Overall, Korean universities showed low scores in key indicators of research, citation and international outlook. In contrast, China and Hong Kong have the highest density of top institutions with 24 Chinese universities and six Hong Kong universities in the top 100. “After intensive investment and globalization efforts, many other Chinese universities like Fudan University and Shanghai Jiao Tong University have become distinguished. This is different from 20 to 30 years ago when only Peking University and Tsinghua University were known to the outside,” said Phil Baty, THE rankings editor.                                                                                                              ",KAIST nudges ahead of SNU and POSTECH in Korea’s top university ranking,https://pulsenews.co.kr/view.php?year=2017&no=179164
" SK Group Chairman Chey Tae-won on Thursday indicated SK Hynix would go bolder in the bid for the semiconductor division of Japan’s Toshiba Corp., a deal that would change the global landscape in the flash memory industry. “The current stage is non-binding so the pricing does not matter,” Chey told reporters after a lecture at the Korea Advanced Institute of Science and Technology (KAIST) campus in Dongdaemun, central Seoul. “We won’t be the same once the real binding bidding process kicks off.” Toshiba is expected to receive final bids in May before selecting a preferred bidder in June. Chey’s comments were made in response to skepticism over the world’s second largest dynamic random access memory (DRAM) maker’s bid over Toshiba’s chip-making division primarily focused in the non-volatile storage (NAND) amid reports of its price offering to be lower than others. SK Hynix reportedly had proposed to acquire 50 percent plus management right in Toshiba’s semiconductor division for around $9 billion. Toshiba is offering from 50 percent to 100 percent in the lucrative flash memory whose prospects are bright due to explosive demand for the chip to power mobile devices. SK Hynix is relatively weak in the NAND field, commanding 5th rank. According to Japan’s Mainichi Shimbun, potential buyers of world’s second largest flash memory maker have been narrowed down to four bidders - SK Hynix, Taiwan’s Hon Hai Precision Industry Co., the United States’ Western Digital Corp., and private equity firm Silver Laker Partners. Hon Hai Precision Industry, also known as Foxconn Technology Group, is unrivalled in the bidding war by offering as much as 3 trillion yen ($27.6 billion). Chey’s latest remarks suggest the conglomerate will go more aggressive in the final bid. SK Hynix has joined up with Japan’s financial investors to participate in the preliminary tender that closed on March 29. In 2012, SK Hynix attempted to take over Japan’s troubled semiconductor maker Elpida Memory Inc. but pulled out later. Elpida is now owned by U.S.-based Micron Technology Inc.                                                                                                            ",SK Group Chairman hints of going bolder in final bid for Toshiba chip division ,https://pulsenews.co.kr/view.php?year=2017&no=255011
" Hanwha Chemical Corp., a South Korean petrochemical producer, has embarked on commercial production of a phthalate-free plasticizer at its Ulsan factory, throwing down the gauntlet to the world’s leading, only non-phthalate plasticizer makers BASF and Evonik. The company announced on Thursday that it has finally started mass production of its phthalate-free plasticizer dubbed ECO-DEHCH eight years after it began its development and the annual production capacity is 15,000 tons. The ECO-DEHCH can replace existing plasticizers that contains toxic phthalate restricting its use in wallpapers, flooring materials and children’s toys, according to the company. Currently, Germany’s BASF and Evonik are the only producers of phthalate-free plasticizers in the world. The global plasticizer market is estimated to be worth 8 trillion won ($7.14 billion) a year, of which 1.5 trillion won sales are generated from eco-friendly products. The non-phthalate plasticize market has been growing at a compound annual growth rate of 6 percent. The successful development and production of ECO-DEHCH is credited to Hanwha Chemical chief executive Kim Chang-bum, who has been dedicated to an industry-academia research partnership with Seoul National and KAIST to develop new technology. The new product met safety requirements in an FDA test late last year. A toxicity test was also conducted by SGS, a leading inspection, verification, testing and certification company, to confirm the product’s applicability to children’s toys.                                                                                                            ",Hanwha Chemical starts commercial production of phthalate-free plasticizer,https://pulsenews.co.kr/view.php?year=2017&no=367703
" South Korean researchers have developed a new semiconductor patterning technology that uses a camera flash instead of standard photolithography. The research team at the Department of Materials Science and Engineering of Korea Advanced Institute of Science & Technology (KAIST) said on Tuesday they found a new method to create a 7 nanometer conductive pattern on a substrate by exposing it to a short burst of a camera flashlight, which takes about one-thousandth of a second. The process used to transfer a pattern to a layer on the microchip is called lithography, but standard photolithography is limited in microfabrication with less than 10 nanometers in size. Micropatterning is required to make high-capacity and high-performance semiconductor devices. The new technology is expected to be applied to develop microchips dedicated to artificial intelligence and the Internet of Things (IoT), according to the research team.                                                                                                            ",Korean researchers develop nano-scale chip patterning technology using camera flash,https://pulsenews.co.kr/view.php?year=2017&no=618101
" South Korea’s Hyundai Motor Group has teamed up with leading science technology universities in Israel and Korea to conduct research on future technologies such as autonomous driving and artificial intelligence. The Korean auto conglomerate said Wednesday it signed a memorandum of understanding with Technion Israel Institute of Technology and Korea Advanced Institute of Science and Technology (KAIST) to carry out joint research on future mobility technologies. Established in 1912, Technion is the oldest university in Israel with an emphasis on science and engineering. More than 60 percent of graduates launch or join a startup, playing a critical role in spurring the country’s entrepreneurship. Figures show that Technion graduates have founded more than half of all startups in Israel, with a majority of them filling the executive seats at the country’s major companies. Under the agreement, the three parties will conduct research on future mobility technologies at the Technion campus. They will initially focus on areas such as self-driving system, cyber security and AI and gradually broaden their research to other sectors. They may also collaborate with startup firms that have expertise in the respective areas. “Israel does not manufacture cars but it is home to many startups that provide essential parts or solutions underlying autonomous, connected cars,” said an official at Hyundai Motor. “This consortium will help us secure new growth engines and future technologies to lead the new era of the fourth industrial revolution.”                                                                                                            ",Hyundai Motor partners with Israel’s Technion for future mobility R&D,https://pulsenews.co.kr/view.php?year=2017&no=598462
" Hyundai Motor Group has decided to invest $5 million in a U.S. mobility research center to gain an edge in the automated and connected car development race. South Korea’s largest automaker said on Wednesday it will participate as a founder-level sponsor for a test site to be built by the American Center for Mobility (ACM), a Michigan-based testing and product development facility focused on automated and connected vehicle technology. Backed by the State of Michigan, the center was founded in partnership with the Michigan Department of Transportation, the University of Michigan and other relevant industry players. The ACM is planning to build a large testing complex at its Willow Run site in Ypsilanti Township, Michigan. It aims to complete first-stage construction by next month and the entire project by late 2019. The new facility, commanding a space of 2 million square meters, will enable carmakers to carry out testing under real-life conditions in a repeatable and controlled environment to fine-tune self-driving technologies. The simulated driving site would offer a range of infrastructure scenarios - including highways, tunnels and unpaved roads - while high-speed driving lanes will allow testing of mass-produced cars. The site will also be fitted with the latest telecommunication networks.  Hyundai Motor Group aims to use the ACM test bed to validate its automated vehicle technology, evaluate advanced driver assistance systems and develop vehicle-to-everything algorithms. “This investment is a strategic move for us to dominate the future car market,” said a company official. “We plan to step up efforts in the U.S. to develop our own core technologies.” Korea’s largest auto group has recently forged a series of partnerships with research centers and companies from various sectors at home and abroad to enhance its self-driving and connected car capabilities. Last month, it teamed up with Technion Israel Institute of Technology and Korea Advanced Institute of Science and Technology (KAIST) to carry out joint research on future mobility technologies. Shares of Hyundai Motor closed Wednesday down 1.66 percent at 148,500 won.                                                                                                            ",Hyundai Motor to invest $5 mn in U.S. future mobility center,https://pulsenews.co.kr/view.php?year=2017&no=705119
" South Korea’s Hyundai Motor Group announced on Thursday that it will set up a research and development center in Israel to develop future car technology and discover startups armed with promising mobility and artificial intelligence (AI) technologies. The company aims to open the center, dubbed Open Innovation Center, in Israel early next year and recruit local talents. The center will mainly play a role in building a network with local businesses and academia, analyzing the latest trend in auto technology, and unearthing local startups focusing on the development of future car technology. Through the center, the Korean auto conglomerate will seek both direct and indirect investments in Israeli startups to develop cutting-edge mobility technologies of the future. Hyundai Motor Group aims to nurture the Open Innovation Center as its research and development headquarters for studying future mobility and AI technologies in the long term, the Korean auto giant said. Hyundai Motor Group seeking to lead autonomous and connected car technology has chosen Israel, which is known as the high-tech, start-up powerhouse of the world, as its main future car technology R&D hub in hopes of developing future car technology with help from many local startups that focus on developing AI, sensor fusion, and cyber security. This is not the first time for the Korean auto group to tap into Israeli talents in the future car technology sector. Hyundai Motor Co. Vice Chairman Chung Euisun, son of Hyundai Motor Group Chairman Chung Mong-koo, early this year visited Israel to discuss driverless car technology with officials at Mobileye NV, global No.1 producer of advanced driver assistance systems (ADAS) sensors under U.S. chipmaker Intel Corp. The company in September also said it joined hands with Technion Israel Institute of Technology and Korea Advanced Institute of Science and Technology (KAIST) to carry out joint research on future mobility technologies. A few days later in the same month, the company that shows an avid interest in future mobility technology also opened its first global big data center in China. Chi Young-cho, Hyundai Motor executive vice president who is in charge of strategic technologies, unveiled the company’s strategic partnership plan with Israeli startups at the ‘Fuel Choice and Smart Mobility Summit 2017, an Israeli government-hosted annual event held in the Middle Eastern country between Oct 31 and Nov 1. Hyundai Motor aims to shape the future mobility market with Israeli startups, said Chi. Shares of Hyundai Motor closed Thursday at 160,000 won($143.58), down 500 won or 0.31 percent from the previous session.                                                                                                            ","Hyundai Motor to open mobility, AI tech R&D center in Israel",https://pulsenews.co.kr/view.php?year=2017&no=726829
" Hubo, a next-generation humanoid robot developed by Korea Advanced Institute of Science and Technology (KAIST), joins the torch relay for the 2018 PyeongChang Winter Olympics at an information and communications technology (ICT)-themed event held at KAIST in Daejeon on Monday. The FX-2 robot took steps carrying Lee Jung-jae, winning team head of Korea’s Junior Software Cup.                                                                                                            ",Next-generation robot Hubo takes part in Winter Olympics torch relay,https://pulsenews.co.kr/view.php?year=2017&no=821201
" South Korea’s top mobile carrier SK Telecom Co. named Yoon Kim, former developer of Apple’s virtual personal assistant Siri, to head its newly-launched artificial intelligence research center. The company said Tuesday that Kim has been appointed to lead its AI research center, a unit launched in December to conduct research in AI-related technologies and review their commercial applications. Kim received his bachelor’s degree from Korea Advanced Institute of Science and Technology (KAIST) and his Ph.D. in electrical engineering from Stanford University in 2000. During his Ph.D. years, he was a researcher at SRI International, a non-profit research institute founded by Stanford that is famous for incubating Siri’s original AI technology. In 2002, he co-founded NeoSpeech, a text-to-speech software company, where he served as chief technology officer. Among well-known NeoSpeech users is the renowned physicist Stephen Hawking. In 2004, he served as the chief executive officer of Novauris Technologies, a U.K.-based startup specializing in automatic speech recognition technology. Kim joined Apple when the iPhone maker acquired Novauris in December 2013 and has since served as its senior engineering manager, involved in improving Siri’s speech recognition features. Kim has reportedly joined SK Telecom with ambitions to nurture AI talent and strengthen AI technologies in his home country. SK Telecom said Kim would be a huge asset to the company in beefing up its AI capabilities and releasing new AI-embedded business models. The number of monthly subscribers to SK Telecom’s AI-powered voice assistant NUGU exceeded 2.1 million users as of late last year to become Korea’s largest, data showed. The company aims to boost the number of users to 5 million by the end of this year.                                                                                                            ",SK Telecom names former Siri developer as AI research center head,https://pulsenews.co.kr/view.php?year=2018&no=104021
