contents,titles,urls
"The Korea Agency for Infrastructure Technology Advancement (KAIA) has been selected to develop a traffic management system for low-altitude drones, as growing demand for unmanned aerial vehicles in South Korea calls for appropriate measures to secure safety. The organization that operates under the Ministry of Land, Infrastructure, and Transport will invest some 19 billion won by 2021 to create its own unmanned aerial systems traffic management (UTM) system for drones that fly below an altitude of 150 meters.With the help of the likes of IT giant KT and the Korea Advanced Institute of Science and Technology (KAIST), the new UTM system is expected to ensure a safer and more effective way of operating privately-owned drones.KT will work with other participants in the project to develop online infrastructure and a cloud-based traffic management platform, and will run a compatibility test for each generation of the mobile telecommunications technology ranging from 3G to 5G.Air traffic management for low-altitude drones is said to prevent crashes between drones and with buildings, while curbing the illegal use of drones and illicit practices such as invasion of privacy and terrorism.“In line with the government’s policy, KT will help spark interest in and create momentum for a new market. If possible, we will commercialize a 5G-based UTM platform and branch out into the global market to focus on exports,” a KT official said. Ashley Song (ashley@koreabizwire.com)",Traffic Management System for Low-Altitude Drones to be Developed,http://koreabizwire.com/traffic-management-system-for-low-altitude-drones-to-be-developed/84342
"South Korea will use security guard robots to reinforce safety in and around Olympic stadiums and venues during the 2018 PyeongChang Winter Games, the government said Monday.  The Ministry of Trade, Industry and Energy said it has launched a robot support team led by Oh Joon-ho, a professor of the Korea Advanced Institute of Science and Technology (KAIST). The team will draw up a comprehensive plan on the use of security guard robots by next month in the run-up to the winter games scheduled in February 2018 in the eastern alpine city of PyeongChang. “We will look into various possibilities, including anti-terror robots or small surveillance robots,” Oh, who also heads KAIST’s Humanoid Robot Research Center, said. “We will study ways on how to best demonstrate Korea’s robotic technology, taking the budget into consideration.” The PyeongChang Olympics is also considering use of humanoid robots to provide information at stadiums and press centers, the ministry said.(Yonhap)",Security Robots to Guard 2018 PyeongChang Winter Games,http://koreabizwire.com/security-robots-to-guard-2018-pyeongchang-winter-games/60879
"The season of the Nobel Prizes is back, and Koreans are once again expressing their long-lasting dream of rearing a Nobel Prize recipient in one of the fields of science (chemistry, physics, physiology or medicine). Thus far,  With the upcoming announcements of this year’s winners imminent (starting October 3), the National Research Foundation of Korea revealed recent survey results over predictions for potential winners. The survey, which was carried out by 144 of Korea’s core researchers in basic science, suggested Narry Kim (Kim Bitnaeri) as Korea’s most likely candidate for this year’s Nobel Prize in Physiology or Medicine. Kim, who is both a professor at Seoul National University and a senior researcher at the Institute for Basic Science, is renowned for her studies of microRNA. Other prominent potential recipients from Korea include KAIST professor Ryoo Ryong (chemistry), Harvard professor Philip Kim (physics), POSTECH professor Ihm Ji-soon, and SNU professor Hyeong Taeg-hwan. Internationally, the scholars picked physicists Kip Thorne and Rainer Weiss as prospective winners of the Nobel Prize in Physics for their experiment with  (Laser Interferometer Gravitational-Wave Observatory). LIGO’s research team has been named several times as a prime candidate by various academics and media outlets, including Thomson Reuters. In the chemistry field,  researcher Yoshinori Ohsumi and UC Berkeley professor Jennifer Doudna, for developing -Cas9, were found to be popular candidates. The survey further revealed that 78 percent of respondents said that Korea is likely to see a winner in the scientific categories within the next 20 years. Of the respondents, 27 percent said that it would take approximately 6 to 10 years; 23 percent said in 11 to 15 years; and 22 percent, within 16 to 20 years. An additional 48 percent said that long-term support for a specific research field was most essential for nurturing a Nobel Prize recipient. The answer was followed by ‘support of research field that is challenging and adventurous’ (17 percent), and ‘maintaining consistency in Korea’s science and technology policies’ (14 percent).Meanwhile, although Korea has high levels of R&D expenditure relative to its GDP at 4.29 percent (2014), 75 percent of the spending was related to applied sciences for business, centered around conglomerates such as Samsung, LG, and Hyundai, with research in basic sciences lacking.By Lina Jang ()",Does Korea Have a Chance at a Nobel Prize in Science?,http://koreabizwire.com/does-korea-have-a-chance-at-a-nobel-prize-in-science/67020
"A team of scientists at KAIST (Korea Advanced Institute of Science and Technology) recently announced the development of technology that will allow for the mass production of carbon dioxide absorbents, which are used for post-combustion CO2 capture that could hypothetically help ease global warming resulting from excessive CO2 emissions.  Although there has been extensive research into amine-containing absorbents that chemisorb low-concentration CO2 from the atmosphere, these absorbents tend to lack efficiency in their desorption of the gas, and suffer from declined stability after repeated use. To overcome the setbacks, the team was able to dramatically increase the level of desorption and the reaction velocity by simply having the conventional amine-containing absorbent react to epoxide – a compound combined with carbon and oxygen. By making use of silicon dioxide and polyethyleneimine (PEI), a polyelectrolyte, the researchers were able to develop a new CO2 absorbent that “simultaneously exhibits a large CO2 working capacity as well as long-term stability in a TSA (temperature swing absorption) condition.”Following the research developments, the team successfully produced 20kg of the new CO2 absorbent in collaboration with the KCRC (Korea Carbon Capture & Sequestration R&D Center), and succeeded in using it in a test-bed environment. According to the team, if production can be increased to the scale of metric tons, the absorbent could also be used at thermoelectric power plants. “The development of CO2 absorbent remained at a laboratory standard, or at grams-level, but our latest development improved the potential for commercialization” said Dr. Choi Min-kee, who led the study. “We expect its commercialization within the next five years.”The full research findings were published in the August 30 online edition of Nature Communications.By Kevin Lee ()",Development of CO2 Absorbent Hints at Potential for Eco-Friendly Future,http://koreabizwire.com/development-of-co2-absorbent-hints-at-potential-for-eco-friendly-future/65988
"A research team from KAIST (the Korea Advanced Institute of Science and Technology) has developed a self-sealing hemostatic needle that won’t make you bleed after it’s used, taking advantage of one of Korea’s most popular mariculture products – mussels.  The team leveraged the exceptional ability of mussels to attach themselves to rocks on shore despite being battered by strong waves, and used an adhesive component extracted from their byssus as a coating material for syringe needles. Needles are essential in many branches of medicine. And although most healthy individuals can stem the flow of blood by applying pressure to a needle’s insertion point, patients with illnesses such as hemophilia tend to have difficulty doing so. For this reason, needles are often coated with hemostatic materials to help stop bleeding.According to the team, however, existing materials tended to show limitations in withstanding the force of friction during injection. The materials must have both the ability to firmly adhere to the surface of the needle, but also bond to either the skin or the wall of the blood vessel after injection, which is where mussels came into play. Mussels are able to stick to surfaces with their byssus, naturally produced filaments used for their adhesion. The newly developed needle is coated with partially crosslinked catechol-functionalized chitosan, extracted from a mussel’s byssus. When blood touches the coated material, it instantaneously undergoes a solid-to-gel process, immediately sealing the punctured tissue. The new development will be of benefit not only to patients with hemophilia, but also cancer and diabetes patients, and those with long-term use of aspirin, said professor Lee Hae-shin, who took part in the research.“We also expect synergy by combining the materials with other invasive medical equipment such as catheters or needles for bone biopsies.”By Joseph Shin ()",New Needle Won’t Make You Bleed,http://koreabizwire.com/new-needle-wont-make-you-bleed/67541
" Fireflies, amongst many living organisms yet known to man, have the most efficient luminescence mechanisms. A research team led by professor Ki-hoon Jung of KAIST (Korea Advanced Institute of Science and Technology) analyzed the structural anatomy of firefly’s light-emitting organs, which led to the discovery that scale-like nano-structures in askew layers formed hierarchically increased the efficiency of luminescence. The full research findings were published in the March issue of Nano Letters.Joshep Shin ()",60% Increase in Luminous Efficiency Modeled After Fireflies,http://koreabizwire.com/60-increase-in-luminous-efficiency-modeled-after-fireflies/53434
"ROK Army Capt. Kwon Hyun gave a special lecture for employees at Naver Corp., South Korea’s largest portal website, on the topics of artificial intelligence (AI) bypass and its countermeasures on Monday. — Capt. Kwon, currently studying at the Korea Advanced Institute of Science and Technology (KAIST), was selected as ‘Naver’s outstanding researcher’ last year.“AI’s exposure to modification of data can lead to multiple problems,” Kwon said at the company’s headquarters in Pangyo, Gyeonggi Province.“For instance, it can make the AI installed in a self-driving car to believe that a turn left sign is actually a right turn sign, or make a voice recognition AI receive orders to send out the wrong product.”To address such situations, Kwon suggested using a Friend-Safe Evasion Attack system to protect friendly AI while attacking the intruding AI system.Capt. Kwon, currently a Ph.D. student focusing on AI and security, has written six papers for various international journals, and five for academic conferences worldwide.“My goal is to develop technology that can protect friendly systems while taking over foes, which will contribute to South Korea’s national defense,” Kwon said.M. H. Lee (mhlee@koreabizwire.com)",S. Korean Army Captain Gives AI Lecture at Naver Headquarters,http://koreabizwire.com/s-korean-army-captain-gives-ai-lecture-at-naver-headquarters/132872
" (the Korea Advanced Institute of Science and Technology) is measuring its students’ biosignals in an effort to prevent suicide. According to the university’s KI Health Science Research Institute, wearable devices that can measure biosignals were distributed to 350 students, starting in April. The institute is operating a pilot project that can predict certain health symptoms based on the devices’ signals.The university ethics commission approved the project, and the participating students signed consent forms to provide location and biometric data.The sensors on the wearable devices, such as smartwatches, smart shoes and shoe soles, and smart buckles, detect students’ biosignals, and the data is sent to a main server for consolidated maintenance. Biosignals include sleep state, heart rate, ECG, temperature, weight, and activity level. The data collected from the devices allows for the remote diagnosis of the students’ health. Cross-referencing school grades may even allow the institute to determine potential symptoms prior to suicide. The institute plans to compile a database using the information, which it plans to collect for the next two years. The school’s efforts to manage its students’ health mainly derived from a series of suicides that took place in 2011. The school has since opened an in-house stress clinic offering mental health examinations and counseling. However, continued incidents, including the suicide of graduate students last June, pushed the university to establish a system that  may help to prevent such tragedies from reoccurring.By Joseph Shin ()",Korean University to Collect Biosignals to Prevent Suicide,http://koreabizwire.com/korean-university-to-collect-biosignals-to-prevent-suicide/55572
"Many films worldwide continue to express womanhood in a stereotypical manner, a recent study has showed. — A research team from the Korea Advanced Institute of Science and Technology (KAIST) announced on Monday that 40 movies from Hollywood and South Korea screened between 2017 and 2018 depicted women to be more prone to expressing passive emotions, such as sadness, fear, and surprise.In contrast, male characters in movies were more likely to demonstrate active emotions, such as anger and hatred.Female characters were less likely to appear in movies with automobiles than males (55.7 percent) while more likely to appear with furniture and in a household (123.9 percent).Female characters appeared less frequently in movies than males (56 percent) and were on average younger (79.1 percent). These comparisons were more vivid among South Korean films, the research team said.The research team used eight indices that they developed to conduct the study.The team used computer vision technology to compare levels of emotional diversity, spatial/temporal occupation, average age, impression of an intelligent character, emphasis on outward appearance, and the types and patterns of surrounding objects, which allowed for a successful analysis of how male and female characters were depicted in various movies in quantitative terms.The team downsampled movies from 24 frames to 3 frames per second, and used Microsoft’s facial recognition technology (Face API) to verify the gender, emotion, age, and location of the character on screen.The team then applied object detection technology to collect information on the types and location of the surrounding objects that appeared with the actors, which showed that most films depicted women from a stereotypical perspective.“Film is a form of media that can heavily influence audiences in their way of thinking,” said Prof. Lee Byeong-ju at KAIST who spearheaded the research team.“We should think twice before creating roles for male and female characters.”Lina Jang (linajang@koreabizwire.com)",Female Movie Characters More Prone to Stereotypes than Men,http://koreabizwire.com/female-movie-characters-more-prone-to-stereotypes-than-men/145953
"LG Electronics Inc. said Monday it will work with the Korea Advanced Institute of Science and Technology (KAIST) to develop core technologies for the sixth-generation (6G) wireless network. — The Korean electronics maker opened a 6G research lab at KAIST in Daejeon, 160 kilometers south of Seoul, making a preemptive bid to lead the pack in the future mobile communication technology.KAIST is one of South Korea’s leading research-oriented science and engineering institutes.“In light of opening the 6G lab, we will bolster R&D for the next-generation mobile network to take a leading role in global standardization and create new business opportunities,” Park Il-pyeong, LG Electronics’ chief technology officer, said in a release.Following the initial launch of the world’s first 5G network in December, South Korea’s three leading mobile carriers have been building infrastructure for the 5G network to support new mobile devices, autonomous vehicles and smart factories and cities.5G promises far faster speeds for mobile phones and its reduction of the latency, or delay, inherent in most existing networks is critical for real time integration between humans and machines.The upcoming 6G aims to integrate satellites for global coverage to provide far high data rates and faster Internet speeds than 5G, according to the International Research Journal of Engineering and Technology.(Yonhap)",LG Electronics Opens 6G Research Lab at KAIST,http://koreabizwire.com/lg-electronics-opens-6g-research-lab-at-kaist/131404
