contents,titles,urls
"Developed at KAIST (Korea Advanced Institute of Science and Technology), the 25kg Mole-bot is proposed as tool for space exploration and mining for resources such as coalbed methane and Rare Earth Elements, which require highly advanced drilling technologies.“The crushing power of the African mole-rat’s teeth is so powerful that they can dig a hole with 48 times more power than their body weight. We used this characteristic for building the main excavation tool. And its expandable drill is designed not to collide with its forelimbs,” said Prof Hyun Myung from KAIST’s School of Electrical Engineering.According to , the 25cm wide and 84cm long Mole-bot can excavate three times faster with six times higher directional accuracy than conventional models.After digging, the robot removes the excavated soil and debris using its forelimbs. This embedded muscle feature, inspired by the European mole’s scapula, converts linear motion into a powerful rotational force. For directional drilling, the robot’s elongated waist changes its direction 360° like living mammals.For exploring underground environments, the research team developed and applied new sensor systems and algorithms to identify the robot’s position and orientation using graph-based 3D Simultaneous Localisation and Mapping (SLAM) technology that matches the Earth’s magnetic field sequence, which enables 3D autonomous navigation underground.According to Market & Market’s survey, the directional drilling market is expected to grow to $103bn in 2021. The growth of the drilling market is likely to expand further into the future development of space and polar resources.The Mole-bot is claimed to be step forward for efficient underground drilling and exploration technologies. Unlike conventional drilling processes that use environmentally unfriendly mud compounds for cleaning debris, Mole-bot can mitigate environmental damage. The researchers said in a statement that their system saves on cost and labour and does not require additional pipelines or other ancillary equipment.“We look forward to a more efficient resource exploration with this type of drilling robot. We also hope Mole-bot will have a very positive impact on the robotics market in terms of its extensive application spectra and economic feasibility,” said Prof Myung.",Biomimetic Mole-bot set to drill in complex environments,https://www.theengineer.co.uk/mole-bot-drilling-kaist/
"The team at Nanyang Technological University, Singapore (NTU Singapore) said their waste-to-resource approach tackles food waste and electronics waste, supporting the development of a circular economy.In a statement, Professor Madhavi Srinivasan, co-director of the NTU Singapore-CEA Alliance for Research in Circular Economy (NTU SCARCE) lab, said: “Current industrial recycling processes of e-waste are energy-intensive and emit harmful pollutants and liquid waste, pointing to an urgent need for eco-friendly methods as the amount of e-waste grows. Our team has demonstrated that it is possible to do so with biodegradable substances.”The findings were published in in July.With industrial approaches to recycling battery waste generating harmful pollutants, hydrometallurgy – using water as a solvent for extraction – is increasingly being explored as a possible alternative. This process involves first shredding and crushing used batteries to form a crushed material called black mass. Researchers then extract valuable metals from black mass by dissolving it in a mix of strong acids or weak acids plus other chemicals like hydrogen peroxide under heat, before letting the metals precipitate.While relatively more eco-friendly than conventional methods, the use of such strong chemicals on an industrial scale could generate a substantial amount of secondary pollutants.The NTU team found that the combination of orange peel that has been oven-dried and ground into powder, plus citric acid, can achieve the same goal.In lab experiments, the team found that their approach extracted around 90 per cent of cobalt, lithium, nickel, and manganese from spent lithium-ion batteries, which they said is a comparable efficacy to the approach using hydrogen peroxide.Assistant Professor Dalton Tay of the NTU School of Materials Science and Engineering and School of Biological Sciences said: “The key lies in the cellulose found in orange peel, which is converted into sugars under heat during the extraction process. These sugars enhance the recovery of metals from battery waste. Naturally-occurring antioxidants found in orange peel, such as flavonoids and phenolic acids, could have contributed to this enhancement as well.”Solid residues generated from this process were found to be non-toxic, suggesting that this method is environmentally sound, he added.From the recovered materials, they then assembled new lithium-ion batteries, which showed a similar charge capacity to commercial ones. Further research is underway to optimise the charge-discharge cycling performance of these new batteries made from recovered materials.",Orange peel helps to recycle lithium-ion batteries,https://www.theengineer.co.uk/orange-peel-recycle-lithium-ion-batteries-ntu-singapore/
"The advance is claimed to be a major step toward a circular carbon economy and could help efforts to reverse global warming. The study has been published in “We set out to develop an effective catalyst that can convert large amounts of the greenhouse gases carbon dioxide and methane without failure,” said Cafer T. Yavuz, paper author and associate professor of chemical and biomolecular engineering and of chemistry at KAIST (Korea Advanced Institute of Science and Technology).The catalyst is made from nickel, magnesium, and molybdenum and initiates and speeds up the rate of reaction that converts carbon dioxide and methane into hydrogen. The team said it can work efficiently for over a month.This dry reforming process converts gases such as carbon dioxide into more useful chemicals that could be refined for use in fuel, plastics, or pharmaceuticals. It is an effective process, but it previously required rare and expensive metals such as platinum and rhodium to induce a brief and inefficient chemical reaction.Other researchers had proposed nickel as a more economical solution, but carbon by-products would build up and the surface nanoparticles would bind together on the cheaper metal, fundamentally changing the composition and geometry of the catalyst and rendering it useless.“The difficulty arises from the lack of control on scores of active sites over the bulky catalysts surfaces because any refinement procedures attempted also change the nature of the catalyst itself,” Yavuz said in a statement.The researchers said they produced nickel-molybdenum nanoparticles under a reductive environment in the presence of a single crystalline magnesium oxide. As the ingredients were heated under reactive gas, the nanoparticles moved on the pristine crystal surface seeking anchoring points. The resulting activated catalyst sealed its own high-energy active sites and permanently fixed the location of the nanoparticles, so the nickel-based catalyst will not have a carbon build-up, nor will the surface particles bind to one another.“It took us almost a year to understand the underlying mechanism,” said first author Youngdong Song, a graduate student in the Department of Chemical and Biomolecular Engineering at KAIST. “Once we studied all the chemical events in detail, we were shocked.”The researchers dubbed the catalyst Nanocatalysts on Single Crystal Edges (NOSCE). The magnesium-oxide nanopowder comes from a finely structured form of magnesium oxide, where the molecules bind continuously to the edge. There are no breaks or defects in the surface, allowing for uniform and predictable reactions.“Our study solves a number of challenges the catalyst community faces,” Yavuz said. “We believe the NOSCE mechanism will improve other inefficient catalytic reactions and provide even further savings of greenhouse gas emissions.”",KAIST catalyst ‘major step to carbon circular economy’,https://www.theengineer.co.uk/kaist-catalyst-recycles-greenhouse-gases/
"AI and robotics researchers have ended a boycott of the Korea Advanced Institute of Science and Technology over the opening of an AI weapons lab in collaboration with Hanwha Systems.At the opening of the Research Centre for the Convergence of National Defence and Artificial Intelligence, it was reported that KAIST was joining the global competition to develop autonomous arms by developing weapons that could search for and eliminate targets without human control.“KAIST does not have any intention to engage in development of lethal autonomous weapons systems and killer robots,” said KAIST’s president, Professor Sung-Chul Shin, in response to the boycott. “KAIST will not conduct any research activities counter to human dignity including autonomous weapons lacking meaningful human control.”Boycott instigator Toby Walsh, Scientia Professor of Artificial Intelligence at the University of New South Wales in Sydney, said: “There are plenty of good applications for AI, even in a military setting.“No one, for instance, should risk a life or limb clearing a minefield – this is a perfect job for a robot. But we should not, however, hand over the decision of who lives or who dies to a machine – this crosses an ethical red-line and will result in new weapons of mass destruction.”The boycott arose ahead of meetings this week in Geneva of the 123 member nations of the United Nations discussing the challenges posed by lethal autonomous weapons. The Group of Governmental Experts to the Convention on Certain Conventional Weapons will consider military applications of AI, and options for addressing the humanitarian and international security challenges posed by lethal autonomous weapons systems.“Back in 2015, thousands of my colleagues in AI  to develop autonomous weapons,” Walsh said. “We couldn’t therefore sit back and watch a top university collaborate with such a controversial industry partner to accelerate that race.",AI and robotics researchers call off boycott of KAIST,https://www.theengineer.co.uk/ai-robotics-kaist/
"The breakthrough, made by a team at the , relates to the development of a simple method for creating multi-layered liquid crystals that could be used as the basis tweaking the optical characteristics of materials.When a special additive called chiral dopant is mixed with the liquid crystal material commonly used in display devices, the liquid crystal molecules rotate spontaneously to form a spiral structure known as “cholesteric liquid crystal.” This material can exhibit colour without the addition of pigments. An additional property known as circular polarisation means that it’s possible to make colours appear and disappear by changing certain polarisation conditions.The KIST team has developed a method to produce materials consisting of several layers of cholesteric liquid crystal, enabling the development of materials that can exhibit two or more different characteristics at the same time.To achieve this, they added a cosolvent that dissolved in both oil and water as a way to mix organic alcohol, a hydrophilic moisturising agent, and the hydrophobic liquid crystal material for all three substances to become evenly mixed together.This mixture was then emulsified in water to form microemulsion drops. With the exchanges occurring among the cosolvent, moisturising agent, and water molecules through the surfaces of the emulsion drops, this resulted in a separation of the hydrophobic and hydrophilic layers.Depending on the initial mixing ratio of the substances, they separated into multiple layers ranging from one to five, and these layers could be freely controlled.Also, with the phase separation occurring continually within each emulsion drop, the concentration of the chiral dopant inside the liquid crystals changed, resulting in multiple structural colours.",Korean team develops forgery-proof liquid crystal material,https://www.theengineer.co.uk/korean-liquid-crystal-material/
"Demand for face masks in South Korea has led to the nation’s government rationing them to two per person per week. The face masks most commonly used are disposable N94 and N95 types that were made for filtering up to 95 per cent of fine dust.A  (Korea Advanced Institute of Science and Technology) research has now developed a nano-filter that is claimed to maintain filtering efficiency, even after hand washing, through the development of proprietary technology that aligns nanofibres with a diameter of 100~500nm in orthogonal or unidirectional directions. The team believe the reusable nano-filtered face mask could help relieve the challenges arising from shortages of face masks.Professor Il-Doo Kim’s nano-fibre filtered mask is said to maintain its frame and filtering function even after being washed more than 20 times. Professor Kim, who has continued to study the filtering of fine dust using nano-filters, is now awaiting final approval from South Korea’s Ministry of Food and Drug Safety to bring his product to market.Professor Kim used an insulation block electrospinning process to manufacture orthogonal nanofibres by controlling the alignment of nanofibres. This structure can minimise delivering of the pressure toward the air filter and maximise the filtration efficiency, which is different from existing disposable masks without nano-fibres.According to KAIST, existing masks also fail to maintain their air filtering function because their electrostatic function disappears when exposed to water. The nano-fibre design was proven to be water-resistant with more than 94 per cent filtering efficiency in 20 repeated bactericidal tests with ethanol. The nano-filter mask also showed no deformation in its nano-membrane structure despite the 20 hand washes. In particular, it was confirmed that there were no deformations in the membrane, even after soaking in ethanol more than three hours.“We believe that this mask can be reusable for about a month even after washing in ethanol,” Professor Kim said in a statement. “The inner filter can also be replaced. We found that the mask filters out up to 80 per cent of 600nm particles even after undergoing a bending test more than 4,000 times.”In February Professor Kim established the Kim Il-Doo Research Institute, a start-up that currently produces 1,500 nano-filters per day.",Nano-filter extends life of masks worn to avoid coronavirus,https://www.theengineer.co.uk/kaist-nano-filter-face-masks/
"The boycott follows an announcement from KAIST (Korea Advanced Institute of Science And Technology) that it is to set up a laboratory with Hanwha Systems, South Korea’s largest defence contractor, which according to the boycotting researchers is involved in the production of cluster munitions despite their prohibition by United Nations Convention to which South Korea is not a signatory. This ‘Research Centre for the Convergence of National Defence and Artificial Intelligence’ has a goal of developing AI technologies to be applied to military weapons, joining the global competition to develop autonomous arms. In an open letter, the AI researchers state that they will boycott all collaborations with any part of KAIST until such time as the University president provides assurances that it will not develop autonomous weapons that lack “meaningful human control”., the research centre opened on 20 February 2018. In , 123 member states of the United Nations will discuss the challenges posed by lethal autonomous weapons. A total of 22 of these nations have already called for .The boycott has been organised by Toby Walsh, Prof of artificial intelligence at the University of New South Wales, who also organised open letters warning of the dangers of autonomous weapons in 2015 and 2017.“Back in 2015, we warned of an arms race in autonomous weapons,” said Walsh. “That arms race has begun. We can see prototypes of autonomous weapons under development today by many nations including the US, China, Russia and the UK. We are locked into an arms race that no one wants to happen. KAIST’s actions will only accelerate this arms race. We cannot tolerate this.”Signatories to Walsh’s new open letter include some of the world’s top deep learning experts, including Prof Geoffrey Hinton of the University of Toronto; Prof Yoshua Bengio of the University of Montréal, Prof Jürgen Schmidhuber of the  in , Switzerland; Prof Stuart Russell of the University of California, Berkeley, the author of the leading textbook on AI; and Prof Wolfram Burgard of the University of Freiburg. Other signatures come from 29 countries in Europe, Asia, the Americas, Australasia and the Middle East.The signatories state that they will not visit or host visitors from KAIST, or contribute to any research project involving KAIST unless and until they receive the assurances from the president of the institution.“If developed, autonomous weapons will be the third revolution in warfare’” the letter states. “They will permit war to be fought faster and at a scale greater than ever before. They have the potential to be weapons of terror. Despots and terrorists could use them against innocent populations, removing any ethical restraints. This Pandora’s box will be hard to close if it is opened.”",Academics boycott KAIST over “killer robots” concerns,https://www.theengineer.co.uk/boycott-kaist-autonomous-weapons/
"The researchers from the University of California San Diego detail their work in .“Essentially, we recreated all the key features that squids use for high-speed swimming,” said Michael T. Tolley, one of the paper’s senior authors and a professor in the Department of Mechanical and Aerospace Engineering at UC San Diego. “This is the first untethered robot that can generate jet pulses for rapid locomotion like the squid and can achieve these jet pulses by changing its body shape, which improves swimming efficiency.”This squid robot is composed mainly of soft materials such as acrylic polymer, plus a few rigid, 3D printed and laser cut parts. Soft robots in underwater exploration can protect fish and coral but they tend to move slowly and have difficulty manoeuvring. This prompted the research team to look at cephalopods to solve some of these issues. In particular, squid can reach the fastest speeds of any aquatic invertebrates due to a jet propulsion mechanism.According to UC San Diego, the team’s robot takes a volume of water into its body while storing elastic energy in its skin and flexible ribs. It then releases this energy by compressing its body and generates a jet of water to propel itself.At rest, the squid robot is shaped roughly like a paper lantern, and has flexible ribs, which act like springs, along its sides. The ribs are connected to two circular plates at each end of the robot. One of them is connected to a nozzle that both takes in water and ejects it when the robot’s body contracts. The other plate can carry a water-proof camera or a different type of sensor.Engineers first tested the squid robot in a water testbed in the lab of Professor Geno Pawlak, in the UC San Diego Department of Mechanical and Aerospace Engineering. It was then tested in a tank at the UC San Diego Birch Aquarium at the Scripps Institution of Oceanography.They demonstrated that the robot could steer by adjusting the direction of the nozzle and recorded its speed at about 18 to 32cm per second, which is faster than most other soft robots.“After we were able to optimise the design of the robot so that it would swim in a tank in the lab, it was especially exciting to see that the robot was able to successfully swim in a large aquarium among coral and fish, demonstrating its feasibility for real-world applications,” said Caleb Christianson, who led the study as part of his Ph.D. work in Tolley’s research group.",Untethered squid robot could help study coral reefs,https://www.theengineer.co.uk/squid-robot-underwater-exploration-water/
"Researchers, publishing in , believe the device can accelerate efforts to uncover brain diseases such as Parkinson’s, Alzheimer’s, addiction, depression, and pain.The device, using Lego-like replaceable drug cartridges and Bluetooth low-energy, can target specific neurons of interest using drug and light for prolonged periods.“The wireless neural device enables chronic chemical and optical neuromodulation that has never been achieved before,” said lead author Raza Qazi, a researcher with the Korea Advanced Institute of Science and Technology (KAIST) and University of Colorado Boulder.In a statement, Qazi said this technology overshadows conventional methods used by neuroscientists, which often involve rigid metal tubes and optical fibres to deliver drugs and light. Apart from limiting the subject’s movement because of the physical connections with the equipment, their relatively rigid structure eventually causes lesion in soft brain tissue, making them unsuitable for long-term implantation.To mitigate against this, efforts have been made to incorporate soft probes and wireless platforms, but these solutions have been limited by their inability to deliver drugs for long periods of time and their bulky and complex control setups.To achieve chronic wireless drug delivery, scientists had to solve the dual challenge of exhaustion and evaporation of drugs. Researchers from the Korea Advanced Institute of Science and Technology (KAIST) and the University of Washington in Seattle collaborated to invent a neural device with a replaceable drug cartridge, which could allow neuroscientists to study the same brain circuits for several months without worrying about running out of drugs.These ‘plug-n-play’ drug cartridges were assembled into a brain implant for mice with a soft and ultrathin probe – which consisted of microfluidic channels and tiny LEDs – for unlimited drug doses and light delivery.Controlled with a user interface on a smartphone, neuroscientists can trigger any specific combination or precise sequencing of light and drug deliveries in any implanted target animal without the need to be inside the laboratory. Using these wireless neural devices, researchers could also easily set up fully automated animal studies where behaviour of one animal could positively or negatively affect behaviour in other animals by conditional triggering of light and/or drug delivery.“This revolutionary device is the fruit of advanced electronics design and powerful micro and nanoscale engineering,” said Jae-Woong Jeong, a professor of electrical engineering at KAIST. “We are interested in further developing this technology to make a brain implant for clinical applications.”Michael Bruchas, a professor of anaesthesiology and pain medicine and pharmacology at the University of Washington School of Medicine, said this technology will help researchers in many ways.“It allows us to better dissect the neural circuit basis of behaviour, and how specific neuromodulators in the brain tune behaviour in various ways,” he said. “We are also eager to use the device for complex pharmacological studies, which could help us develop new therapeutics for pain, addiction, and emotional disorders.”",Smartphone controls therapeutic brain implants,https://www.theengineer.co.uk/brain-implants-smartphone/
,Video of the week: Graphene moves speakers out of the box,https://www.theengineer.co.uk/video-of-the-week-graphene-moves-speakers-out-of-the-box/
