contents,titles,urls
"President Moon Jae-in has picked a female scientist and professor as his new adviser for science and technology, Cheong Wa Dae announced Monday.Park Su-kyung, who teaches mechanical engineering at the Korea Advanced Institute of Science and Technology (KAIST), is to assume the vice ministerial position, becoming the youngest member of Moon's senior Cheong Wa Dae aide team.Born in 1973, she studied mechanical engineering at KAIST and earned a master's degree from the school in Daejeon, 160 kilometers south of Seoul. She then received a Ph.D. from the University of Michigan.Park, the first female KAIST professor of mechanical engineering, has conducted brisk research in the biomechanics field and also served at the Presidential Advisory Council on Science and Technology, Cheong Wa Dae spokesman Kang Min-seok said in a statement.She is expected to contribute to accelerating South Korea's push for science and technology and ICT innovation, he added.Her predecessor Lee Kong-joo quit in February after a yearlong stint and returned to Ewha Woman's University in Seoul as a professor of medicine. (Yonhap)",KAIST professor tapped as presidential science policy adviser,http://www.koreaherald.com/view.php?ud=20200504000174&ACE_SEARCH=1
"The Financial Services Commission said Tuesday that it will start receiving applications for its part-time MBA program focused on digital finance from May 15. The program, slated to launch in September, will be managed by KAIST College of Business, a graduate school from technology and management, and jointly promoted by the FSC and the Seoul Metropolitan Government. The program will receive 40 students for this year’s fall semester to be the first graduating class. Those who have work experience in financial or financial technology sectors, or a plan to launch their own fintech-related businesses, and undergraduate students eyeing careers in related fields are eligible for application. Participants will be required to complete 42 credits throughout the course of four semesters, part-time, at the International Finance Center located in the financial district of Yeouido, western Seoul. The classes will be held three times a week -- twice on weekday afternoons and once on Saturdays -- to allow students to participate in the program while working.Foreign exchange, overseas training and dual-degree programs, which will be run in partnership with prestigious universities around the world, will be offered as options as well. The program will be an opportunity for applicants to participate in such a program at half the tuition fees compared to other Master of Business Administration programs, the FSC said. Applications will be received only via the graduate school’s website () from May 15-25.By Jung Min-kyung ()",FSC to receive applications for digital finance MBA program,http://www.koreaherald.com/view.php?ud=20200505000127&ACE_SEARCH=1
"SK hynix, the world’s second-largest memory provider, said Tuesday that the company will start using artificial intelligence-based solutions to improve its manufacturing process for memory chips. Under a memorandum of understanding with the Korea Advanced Institute of Technology, SK hynix will provide KAIST with data collected during the chip manufacturing process in its clean rooms in real time through a cloud system. KAIST will analyze the data using AI-based models and come up with predictions and suggestions to improve process quality. It is the first such example of collaboration between a chipmaker and a university. Chip manufacturing data is highly confidential information within the semiconductor industry. “It marks the first system that can access a chipmaker’s data regarding its manufacturing processes, whose data security is the lifeline,” said Moon Jae-kyun, head of electrical engineering at KAIST. “The latest AI algorithms developed by KAIST will be applied to the manufacturing site,” said Song Chang-rock, head of data transformation at SK hynix. By Song Su-hyun (song@heraldcorp.com)",SK hynix taps into AI to improve manufacturing processes,http://www.koreaherald.com/view.php?ud=20200512000703&ACE_SEARCH=1
"Hanwha Chemical has established a research center together with Yonsei University to develop innovative eco-friendly technologies, the chemical firm said Monday. The research center, which will run for five years, will focus on five projects involving eco-friendly technologies as part of the firm’s efforts to adapt to climate change. One of the projects will involve using electrolysis to split water molecules to produce hydrogen, a promising alternative to the use of crude oil as fuel. Another will involve research into biodegradable plastics that decompose after disposal.The chemical firm said it will have exclusive patent rights over the products and technologies developed at the center. “Through this agreement, we hope to see technical outcomes in eco-friendly areas as well as more talents to grow in the areas,” said Kim Chang-beom, vice chairman of the company. Hanwha Chemical also plans to provide scholarships to 15 Ph.D. students involved in the research project over the next five years. The chemical firm has been carrying out research on future technologies with KAIST since 2016 and research on petrochemical technologies with Seoul National University since 2017. By Shin Ji-hye (shinjh@heraldcorp.com)",Biodegradable plastic? Hanwha Chemical teams up with Yonsei to develop eco-friendly tech,http://www.koreaherald.com/view.php?ud=20190422000516&ACE_SEARCH=1
"A South Korean university is launching a new department in cooperation with Samsung Electronics to nurture future talent in the field of system chips. Yonsei University said Thursday it would open a system chip engineering department starting from the class of 2021, in partnership with Samsung Electronics. The undergraduate program, funded by South Korea’s biggest chipmaker, is designed to educate future talent under the condition that all students will be hired by the company as soon as they graduate.  The new department will have 50 students each year, and they will all be granted scholarships from Samsung Electronics, according to the university’s plan reported to the Education Ministry.Yonsei and Samsung will review further plans of setting up follow-up courses at graduate schools, it added. Other chipmakers, including SK hynix, are reportedly in talks to launch system chip engineering programs at Seoul National University and KAIST.These new programs specializing in system chip development come amid a growing need for chipmakers to expand their presence in the non-memory market. Samsung and SK hynix are respectively the largest and second-largest memory chipmakers in the world, but they have an insignificant presence in the non-memory market, which accounts for 70 percent of the chip business. The announcement has drawn mixed reactions. Some support the idea of resolving the chronic shortage of experts in the semiconductor field, while others have raised concerns over academia losing its independence from corporate control. By Cho Chung-un (christory@heraldcorp.com)",Yonsei University unveils plan with Samsung to nurture talent,http://www.koreaherald.com/view.php?ud=20190425000696&ACE_SEARCH=1
"SEOGWIPO, Jeju Island -- The resort island of Jeju is striving to be the global benchmark for sustainable development with its carbon-free project that includes plans to boost the use of renewable energy and eco-friendly vehicles, according to Jeju Special Self-Governing Province Gov. Won Hee-ryong.Won, who has used three electric vehicles since taking office in 2014, holds the honorary status of being the first provincial governor to use an official green car.“The change from gasoline cars to EVs has the effect of saving over 4 million won ($3,400) on average per year for an annual run of 24,000 kilometers,” Won told The Korea Herald in a recent interview. “This is the same as cutting down 3.9 tons of CO2 and planting 28 trees,” he said, adding that the lack of noise when driving an EV helps him focus better on brainstorming for his policies. Jeju Island was selected in 2011 by the central government to lead the EV industry development in South Korea. The following year in 2012, it launched the Carbon Free Island 2030 project (CFI 2030) and gave unlimited financial support to the EV industry. As a result, the number of green cars registered in Jeju marked 16,352 as of December 2018, taking up more than one-third of Korea’s total number of registered green cars -- 36,835 as of end-June 2018. Including the charging stations installed at individual homes, Jeju had 14,108 charging stations as of December 2018. The rate of charging stations per cars registered reaches over 90 percent.With an EV charging station every 3.5 kilometers, the island boasts one of the best infrastructure for EVs. But visitors still complain about the lack of “open” charging stations at public parking lots. As of August 2018, Jeju had 1,103 open express chargers that require 30 minutes to an hour for a full recharge, and 344 slow chargers, which fully recharge overnight. A 26-year-old Seoul resident Kim Hee-hyen told The Korea Herald recently that she “had to spend a good amount of my weekend visit to Jeju searching for the nearest available charging station.” While there are plenty of charging stations, the problem lies in the relatively long time that EVs take to recharge. During the often hourlong endeavor, drivers leave their cars unattended, and by the time their vehicles are done charging, the drivers aren’t present to vacate the spot quickly enough for the next user. To alleviate the issue of people hogging charging stations, the authorities has started levying a fee at the open charging stations that have been free to use so far. A do-not-disturb-charging law -- penalties on those who leave their charging vehicle unattended after it is fully charged -- is being implemented.The move, like many other fledgling policies, has run into opposition. Jang Jae-ahn, 38, for instance said he was put off to learn that seven out of every 10 people who took out EV rentals ended up paying 100,000 won fine for hogging the charging station after their vehicles were fully charged. He otherwise was advised to wait near the car for the full hour it took for charging to be completed. This is a disadvantage although the rental service offers benefits such as a refueling charge in the form of a credit card to lease an EV.Jeju aspires to solve this issue by equipping the island with a total of 17,770 charging stations this year. “We will require car rental operators to rent out fully charged EVs, and install more charging stations at major tourist sites and at accommodations,“ Gov. Won said.A comprehensive EV service system incorporating mobile smart applications for real-time information on availability of charging stations, signboards on roads, and hotline for difficulties while operating EVs are other resolutions that are being pushed forward.  Coinciding with the sixth annual International Electric Vehicle Expo in Jeju, the city announced it will inject 129 billion won in four years for newly designated regulatory sandbox areas. The fund comprises of the central government’s contribution of 61 billion won, Jeju government’s 31 billion won and private sector investments amounting to 38 billion won. The areas to be covered by the regulatory sandbox include the advanced science technology district in Ara-dong, Jeju National University, Jeju South Korea Polytechnic University campus, Jeju International University and the Jeju Innovation City area in the island’s southern half of Seogwipo.“My vision is to make Jeju a sustainable city based on clean, renewable energy,” said Won. The province has so far been heavily dependent on agro-fishery business involving regional specialty tangerines and seafood, as well as tourism-focused accommodation and retail services. With its aquamarine-colored shores and Hallasan, the tallest mountain in Korea, the region attracted approximately 14 million visitors in 2018. This was despite the reduction of foreign visitors due to a temporary fallout with China following US’ deployment of THAAD anti-missile defense system in Korea.The city has always felt the need to develop more areas of business for sustainability.“Jeju has the ideal conditions to foster green energy businesses, as it is rich in natural resources, wind and solar energy,” Won said, “We are working for a harmonious expansion of the ‘fourth industrial revolution’ with existing industries.”The government has vowed to replace all energy consumption on the island by 2030 to wind-generated electricity, and other forms of renewable energy. All cars will be replaced with EVs. The carbon-free island project has four main pillars of EV, renewable energy, smart city and smart grid. The project received attention from various countries for its potential of being applicable to some 2,400 cities around the globe. “For EVs, not only the direction but also the timing is critical. We must dominate the market faster than other global players,” Won said, adding that he hopes that others will benchmark Jeju’s success. The city is collaborating with Korea’s leading technology university KAIST for a specially established research institute that focuses on electric and autonomous vehicles, as well as connecting with other players in the industry for commercialization. “Seoul, Daegu and cities in the Gyeonggi Province can benchmark our case,” said Won, “What we are doing here can serve as a textbook for the other cities looking to expand their EV market.” Jeju wishes to work together with the Netherlands and France for wind-generated renewable energy and carbon-free technologies. “Jeju will share its know-how with other global players including North Korea,” said Won, “We will actively take part in international associations to decrease pollution on a worldwide scale.” The government proposes to encourage commercial EV charging service industry, improve the infrastructure of open charging stations and increase the number of stations for the disabled. The city is also working to build an energy storage system center before the end of this year, and a hybrid renewable EV charging station that will make use of blockchain technology to store and manage EV battery usage. By Lim Jeong-yeo (kaylalim@heraldcorp.com)",[Herald Interview]  Jeju strives to be global benchmark with carbon-free project,http://www.koreaherald.com/view.php?ud=20190508000664&ACE_SEARCH=1
"From a student’s perspective, tech-savvy South Korea might be just the place to make a promising start as an entrepreneur.But it also has its limits, despite the unprecedented level of support and attention being paid to the startup ecosystem here, according to Korean students who took part in a two-day hackathon in Finland in June, jointly organized by the Seoul-based Korea Startup Forum and Helsinki-based Junction.Three of them sat down with The Korea Herald to talk about what’s happening in the startup community.Kim So-young, 22, was part of a team at the hackathon called HyvaCC, which came in second for developing an innovative gamification method of getting people to pick up trash. Chang Joon-hyuk, 23, invented an app called Arles, which tracks the symptoms of depression with a “smart mirror.” Seo Hyun-sun, 31, won the top prize with Jubilee, a team dedicated to location-based health monitoring and tracking solution for senior citizens.Below are some excerpts from the interview.Seo: I’m a graduate student in the Master of Entrepreneurship & Innovation program at KAIST, and I spent over a decade studying and working overseas. I’m leading two projects -- Jubilee and a personalized beauty platform called Candid. I have an undergraduate degree in Biomedical Engineering from Johns Hopkins University. After graduating from college and interning at Siemens Healthcare, I came back to Korea to build a career as an entrepreneur.Kim: I have a bachelor’s degree in mechanical engineering, clothing and textiles from Yonsei University. In college, I joined a club for startup entrepreneurs. Then I went to study textile engineering in Germany. I am now interested in how textile engineering can be applied to wearable devices. Chang: I’m a former UI/UX designer and product manager. Arles is an idea I have much affection for, but we decided to put it on hold. Currently, I am leading the team behind Travelous, a real-time, location-based meetup app for travelers.Seo: I found that Korea and Finland have a lot in common. For instance, both the countries are dedicated to providing financial support and networking channels for young entrepreneurs.Kim: I was amazed by the size of the exhibition run by students in Finland. Also, I learned about how community builders like Slush, Junction and Startup Sauna were influencing the world.Chang: I was not aware of a startup boom in Finland until I got there. Even in remote areas, people recognized me as a participant in a startup event. I haven’t seen this much interest in the startup community.Seo: Our mentor told us that open communication is crucial, because no one can be good at everything. I was told that as a leader, it’s important for me to identify the strength of each individual team member and designate adequate roles to them.Kim: Our team was divided, so our mentor suggested ways to incorporate our ideas through candid discussions or a vote. He also said teamwork comes before ideation.Chang: Our mentors helped us realize what we were missing out in the idealization process and solidify our business model.Kim: As an engineering major, I met and worked with many people who wanted to create their own tech startups. But the thing is, there are still risks involved for engineer-only startups, despite the seamless technology. I think engineers tend to take branding, sales and marketing efforts lightly. On campus, I was given a lot of proposals for patent applications and opportunities to meet mentors. On the other hand, I had little chance to learn what I should be mindful of when commercializing technology and building teamwork. Chang: There are classes in Korea run by consultants on how to craft, revise and execute plans for launching new products. These classes help minimize risks for entrepreneurs. Seo: Flexibility. I learned that an early-stage entrepreneur should learn how to take criticism in a positive way. Lean approach helps the entrepreneur grow, and their business too.Kim: Knowing who can be a good partner in your business. Unless you are in a one-off project, finding a good partner is the most crucial part, especially finding one with a “good” personality.Chang: Versatility. Being a jack-of-all-trades will help make the entrepreneur a better asset to the team. Seo: Korea has a well-established network for tech-powered startups. But success does not come easy unless you put yourself out there. Kim: Universities in Korea have a great tech base and students perform very well. Still, I doubt that they encourage entrepreneurship, in terms of administrative and financial support. It’s time for universities to turn themselves into beacons of opportunity for aspiring entrepreneurs, when they get lost and do not know where to go.Chang: There are a number of support programs, especially for Korean university students, that serve as sandboxes for early stage entrepreneurs. By Son Ji-hyoung ()",[Herald Interview] Aspiring entrepreneurs discuss startup ecosystem,http://www.koreaherald.com/view.php?ud=20190702000663&ACE_SEARCH=1
"KAIST, South Korea’s top science and technology university, on Thursday rebutted claims that it was contributing to the development of artificial intelligence-powered killer robots, which had prompted over 50 of the world’s top AI researchers to announce a boycott of KAIST.“I am saddened to hear about the announcement on the boycott of KAIST for allegedly developing killer robots,” KAIST President Shin Sung-chul said in a public statement.“I would like to reaffirm that KAIST does not have any intention to engage in development of lethal autonomous weapons system and killer robots. KAIST is significantly aware of ethical concerns in the application of all technologies including artificial intelligence.”KAIST’s statement comes a day after more than 50 leading AI and robotics experts from 30 countries announced a boycott of KAIST, after the university opened what they claimed was an AI weapons lab with Hanwha Systems, one of Korea’s top two makers of cluster munitions.The KAIST president explained that the research center at KAIST, which was opened in collaboration with Hanwha Systems, does not intend to develop any lethal autonomous weapons systems and that the research actions do not target individual attacks.Rather, the center aims to develop algorithms on efficient logistical systems, unmanned navigation and aviation training systems. KAIST will be responsible for educating researchers and providing consultation.“As an academic institution, we value human rights and ethical standards to a very high degree. KAIST has strived to conduct research for better serving the world,” Shin said.The boycott against KAIST was organized by professor Toby Walsh from the University of South Wales, ahead of a United Nations meeting in Geneva on April 9 aimed at discussing the challenges of lethal autonomous weapons.The researchers included in the boycott had sent KAIST a letter saying that they would sever ties with the Korean university until it provides reassurances that the weaponry it develops will have “meaningful human control.”“At a time when the United Nations is discussing how to contain the threat posed to international security by autonomous weapons, it is regrettable that a prestigious institution like KAIST looks to accelerate the arms race to develop such weapons,” the letter reads.“We can see prototypes of autonomous weapons under development today by many nations including the US, China, Russia, and the UK. We are locked into an arms race that no one wants to happen. KAIST’s actions will only accelerate this arms race. We cannot tolerate this.” KAIST said that it has informed the members of the boycott of its formal stance on the issue via email, and that it had received responses from some who have thanked the university for clarifying the allegations. By Sohn Ji-young ()",Korea’s KAIST rebuts global boycott over alleged contribution to development of ‘killer robots’,http://www.koreaherald.com/view.php?ud=20180405000685&ACE_SEARCH=1
"Samsung Electronics Vice Chairman Lee Jae-yong met Microsoft CEO Satya Nadella in Seoul to discuss ways to strengthen cooperation in areas including artificial intelligence and cloud-computing technology, according to industry sources Wednesday.During the meeting, the two agreed to expand their partnership in technologies critical to future growth, including AI, cloud-computing services, data-center operations, 5G networks and software development, Samsung Electronics said. Microsoft Korea declined to comment on the meeting, including its content and purpose.The extended partnership will likely be centered on cloud services, considering Microsoft’s “Mobile First, Cloud First” strategy. It also suggests a potential increase in cloud-related supply contracts between the two companies, said an industry source who declined to be named. “Given that high-density memory chips and SSDs are integral to delivering optimal cloud services, Samsung’s supply of semiconductors for cloud servers to Microsoft is expected to increase. Samsung’s products will also employ more of Microsoft’s cloud services,” the source said.  Microsoft and Samsung are already working together in the cloud business. During his keynote speech at Wednesday’s conference, Nadella cited Samsung’s smart air conditioners as an example of how Microsoft’s intelligent cloud platform Azure is being used to collect and analyze data, enabling products to run on internet of things technology.In Korea for the first time since assuming his post in 2014, the Microsoft CEO called on companies and organizations here to aggressively pursue digital transformation to stay competitive in a world where computing is becoming ubiquitous. He said Korean firms should embrace “tech intensity” -- the ability to quickly adopt the latest technologies while building digital capabilities of their own -- and stressed Microsoft’s readiness to assist clients in doing so. “It’s all about your technology and your tech intensity. We want to build technology so that you can go on to build on more technology. It’s as simple as that,” Nadella said, touching down on the company’s founding mission -- to empower firms to do more with technology.As part of such efforts, Microsoft is building Azure -- its intelligent cloud-computing platform -- as the “world’s first computer.” With data centers in 54 global regions, including two in Korea, the US software giant is “building tremendous capability worldwide” so that applications can be started and deployed anywhere, said the chief.With the massive computing infrastructure and resources at its disposal, Microsoft is also advancing its artificial intelligence capabilities, achieving milestones such as being the first to achieve human parity in AI-powered machine translation. And such AI capabilities have been made available to clients through Azure.“We are making these (AI) technologies available as a set of services that can be extended, so that everyone can incorporate them as applications. That’s what Azure AI does: the best vision, speech-language processing capacities and also fantastic computing structure so that you have the capability to build your own AI,” he said.Many Korean companies are already doing this, using Microsoft’s solutions. In addition to Samsung Electronics, Korea’s game company Pearl Abyss -- behind the hit game “Black Desert” -- uses Azure to service its games and collect the metadata needed to improve the game’s operations. 356MC is using Azure’s machine-learning solutions to develop AI systems to assist surgeries, while CarDoc uses Azure AI to automatically detect damage to a vehicle by analyzing images. Meanwhile, KAIST is building predictive power to assess traffic conditions and prevent road accidents using Azure. The Microsoft chief also stressed the importance of cybersecurity, privacy and ethics in building AI systems, saying not just “what computers can do, but also what computers should do” were important considerations in AI development.By Sohn Ji-young ()","Samsung chief meets Microsoft CEO on forging deeper cloud, AI partnership",http://www.koreaherald.com/view.php?ud=20181107000738&ACE_SEARCH=1
"The Ministry of Government Legislation and the Korea Legislation Research Institute will jointly hold the Asian Legislative Experts Symposium in Seoul on Oct. 30. Organized by the ministry since 2013, the conference brings together government officials and experts from Southeast Asian counties, including Vietnam, Indonesia and Malaysia, to introduce their legislation to tackle common issues.Under the theme “Legislative Modification Strategies for Smart City Development,” the participants will discuss drawing up legislation to better develop a smart city based on internet of things technology.Data collected from such exchanges will optimize the efficiency of city services from transportation to public utilities to crime detection, the ministry said.Jung Jae-seung, a KAIST professor, will deliver the keynote speech.He currently serves as chief architect of Sejong SmartCity, a pan-governmental project that aims to turn the country’s administrative region into a model smart city.Divided into two sessions, the forum will first examine what roles Korean laws have played in nurturing smart cities and the progress they have made in building them.Chairperson Choi Hoan-yong, vice president of the KLRI, will moderate the discussion.Legal experts and officials from Korea’s Transportation Ministry will talk about the latest findings in their research and suggestions for policymakers.A session will delve more in-depth on smart city projects currently underway in Southeast Asian countries.Chairperson Kang Myoung-gu, a professor of Urban and Regional Planning at University of Seoul, will lead the discussion.Senior officials from the governments of Vietnam, Thailand and Malaysia will each present their local projects to build smart cities.In particular, Vietnam whose ambassador to South Korea delivers a congratulatory speech at the event has showed deepened interest in this year’s forum, having delegated two ranking officials in charge of city monitoring and control and law enforcement.Following the presentation, local smart city experts and foreign academics will cross-examine reported cases and share successful legislation cases that helped smart city development.As host of the international forum, South Korea plans to do more than share its experience in tackling pending issues across Asia.It has helped Myanmar to model its information system on local laws and signed agreements with 28 legislative organizations in Southeast Asia to further promote legislative cooperation.At the symposium, Minister of Government Legislation Kim Hyung-yun is expected to highlight the policies that maintain national and social order as well as help solve various pending issues.He is also set to note the necessity of establishing and modifying relevant laws and systems to effectively implement smart city projects.By Choi Si-young ()",S. Korea to host 7th Asian Legislative Experts Symposium,http://www.koreaherald.com/view.php?ud=20191021000780&ACE_SEARCH=1
