contents,titles,urls
"A joint research team, led by the Korea Advanced Institute of Science and Technology (KAIST), has developed technology to culture the Covid-19 virus in human alveoli created three-dimensionally in laboratories.The success will help to explain Covid-19’s infection mechanism and develop treatments, KAIST said in a news release Monday.    According to Worldometer, an international site providing real-time statistics, the cumulative Covid-19 caseload worldwide topped 43.3 million as of Sunday, exceeded the 40 million landmark set on Oct. 18 in a week, showing signs of a second wave.A model that simulates the human body usable in a laboratory is essential in developing a therapeutic agent based on an accurate understanding of disease mechanisms. However, related studies had run into limits, as researchers had difficulty infecting mice with Covid-19, and there were no available human alveoli to use in laboratories.The joint research team has newly developed a 3D human alveolar model that can be continuously cultured. The model has made possible the study of the disease mechanisms of various respiratory viruses, including the Covid-19, using human lung cells in a laboratory. Researchers can also directly apply it to the development of treatments such as drug screening, according to the KAIST.The research team found the conditions for stable and long-term 3D cultivation of human lung tissue obtained from surgical test materials. When the 3D alveoli were exposed to the Covid-19 virus, rapid proliferation occurred within six hours and completed infection. Still, the activation of the innate immune response of the lung took about three days.“If we can expand the scale of the 3D human lung culture model, it will be useful for studying the infection mechanisms of various respiratory viruses, including the Covid-19,” said Joo Young-seok, a professor of KAIST Graduate School of Medical Science and Engineering. “Researchers can use the model to reveal mechanisms and develop medicine by using human lung cells in infectious disease studies.”National Research Foundation of Korea, Korea Disease Control and Prevention Agency, Institute for Basic Science, Seoul National University College of Medicine, European Research Council, Suh Kyungbae Foundation, and the Human Frontier Science Program supported the study.The study, titled “Three-dimensional human alveolar stem cell culture models reveal infection response to SARS-CoV-2,” was published in the online edition of the journal, Cell Stem Cell last Thursday.",Researchers develop 3D alveoli-culturing tech to find Covid-19 infection mechanism,http://www.koreabiomed.com/news/articleView.html?idxno=9473
"A research team composed of two local universities -- Korea Advanced Institute of Science and Technology (KAIST) and Chungbuk National University College of Medicine (CNUCM) -- has developed a vaccine for severe fever with thrombocytopenia syndrome (SFTS) virus infection.SFTS is a contagious disease caused by virus-infected wild ticks. The disease leads to severe fever after six to 14 days of incubation and causes various illnesses, including platelet and white blood cell reduction, vomiting and diarrhea. In severe cases, SFTS can also lead to death. In Korea, the number of SFTS patients has been steadily increasing every year since the nation saw its first patient in 2013. Currently, there are no vaccines that treat the disease.The team, led by Professors Park Soo-young of KAIST and Choi Young-ki of CNUCM, designed the vaccine antigen by deriving a common sequence from the gene sequences of 31 different SFTS viruses. It then used Geneone Life Science’s technology to make a DNA vaccine. Unlike conventional vaccines, DNA vaccines have the advantage of using only genes to induce a safe and broad immune response.The researchers found that the vaccine suppressed infection in the infected animal model and saw none of the usual symptoms, such as digestive symptoms, platelet, and leukocyte reduction.“The vaccine is the first drug that would perfectly protect against SFTS virus infection and demonstrated complete protection against a non-mouse model, which portrayed the same infection route as a human model,” Professor Park said.Professor Choi said, “The research result of the development of the SFTS vaccine is significant as we have secured a technological advantage for the development of SFTS vaccines worldwide.”The team plans to continue its research to commercialize the SFTS virus vaccine, Choi added.The result of the research was published in the Aug. 23 online edition of the Nature Communications.",University researchers develop vaccine for severe fever with SFTS infection,http://www.koreabiomed.com/news/articleView.html?idxno=6367
"Researchers at Korea Advanced Institute of Science & Technology (KAIST) and Hanyang University have found a new anticancer principle that tempts cancer cells to die on their own.Disturbing cell ions is one of the strategies to inhibit essential cell functions. The function is also one of the main strategies used in anticancer drugs. However, the clinical applicability of disturbing cell ions was low as the strategy had certain limitations such as low solubility.To resolve the problem, the team, led by Professors Kim Yoo-chun at KAIST and Yoon Chae-ok at Hanyang University, discovered an alpha-helical peptide-based anticancer substance, which is water-soluble but has potassium (K) ion transport capability.“The key is to combine a water-friendly group and a potassium ion transportable group with cationic nature at the end of the peptide,” the team said. “The new anticancer peptide lowers intracellular potassium concentration and increases intracellular calcium (Ca) concentration.”The intracellular calcium concentration increase also helps to boost active oxygen concentration and cause endoplasmic reticulum stress, which ultimately leads cells to cause self-destruction, it added.The researchers have confirmed that the substance is effective in inhibiting cancer growth through an animal experiment.“Our team expects that the new principle will be able to replace existing cancer therapy limitations as it can kill cancer cells,” Professor Kim said.The results of the research were selected as the back cover in the July edition of Advanced Science.",KAIST-Hanyang University team presents new anticancer principle,http://www.koreabiomed.com/news/articleView.html?idxno=6213
"The Korean government said it would spend 25.8 billion won ($21.7 million) on supporting the discovery and development of innovative medicines using artificial intelligence (AI) in the next three years.The Ministry of Science and ICT and the Ministry of Health and Welfare plan to use the money for operating six research teams and management institutions composed of experts in big data, AI and new drug development.The project focuses on building a customized AI platform for each phase of new drug development, including the discovery of candidate substances and clinical trials. The three leading areas -- discovering candidate agents, recreating new drugs, and smart drug monitoring -- are expected to produce the best results of technology development, the government said.For AI-powered drug candidate discovery, AI-using drug development startup Arontier, Chung-Ang University, Daegu Gyeongbuk Medical Innovation Foundation, and Ewha Woman's University will conduct a study to develop an AI platform.The state project also includes research support for recreating new drugs, which could reduce costs by skipping safety verification that had been already proven through trials and regulatory reviews.To build a platform for recreation of new drugs, a KAIST research team plans to develop a deep learning model that replicates the existing mechanism of drug actions and conduct verification tests.To improve the drug monitoring system which used to be possible only after the release of a pharmaceutical product, Asan Medical Center will build a system to predict adverse drug reactions using machine learning of big data on immunotherapies.The government expects that a successful implementation of the project could reduce the average time for new drug development by half from 15 years to seven years.The government will open up the developed platform later so that researchers and companies can use it freely. After the project closure, research institutes will own the platform to keep it updated and applied well.",￦25.8 billion earmarked for AI-driven drug discovery,http://www.koreabiomed.com/news/articleView.html?idxno=5924
"LAS VEGAS, Nev. – A Korean company unveiled a new device that tests the heart’s rhythm and activity in less than 30 seconds.Healthrian showcased WearECG12, a wearable electrocardiogram (ECG) gear, at the Consumer Electronics Show (CES) 2020 being held from Tuesday in Las Vegas, Nev. Founded by a graduate of KAIST, Healthrian displays its products at the KAIST booth until Friday.WearECG 12 is a Holter’s monitoring system that measures ECG with 12 channels in real-time. The small and light device, with a width of 46mm, a length of 35.6mm and a weight of about 30g.By combining the device with patches of electrodes, a user can see real-time ECG. Attaching the device to the body and measuring ECG took only about 27 seconds.“We made the existing Holter’s ECG monitoring system with 12 channels, used in hospitals, into a wearable device. It has the advantage of easy storage and easy attachment,” Healthrian CEO Roh Tea-hwan told Korea Biomedical Review at CES 2020 on Tuesday. “We developed it so that emergency rescuers can use it quickly and easily to measure ECG on an ambulance.”Users can confirm the test results on a mobile application and send the results remotely, regardless of distance, Roh went on to say. As the miniatured product stores every data, it can play a role as a black box, too, he added.Roh noted that the new device could help individuals to manage their health. If a user wears the device for 24 hours, he or she can conduct a test for arrhythmia or heart diseases at home, he added. ",[CES 2020] Wearable device measures electrocardiogram records in 27 seconds,http://www.koreabiomed.com/news/articleView.html?idxno=7147
"Noh Moon-jong, CEO of Kolon TissueGene, is the key person to clarify why Invossa-K contained abnormal GP2-293 cells because he has been heading the early-stage research on the gene therapy for osteoarthritis. However, he has kept silent about the issue for over three weeks since the suspension of the drug sales.Kolon Life Science has not given out a full explanation of why Invossa’s second ingredient of transduced cells contained 293 cells to date.Kolon Life Science CEO Lee Woo-sok and Managing Director Kim Soo-jung said at a news conference on Thursday last week that “it was unlikely that 293 cells were not filtered out.”Some of the filters might have been torn, or other things may have contaminated the drug cell. However, these are all speculations, and the company is investigating the researchers who worked at the time, Lee said.Lee said it was difficult to identify the cause of the problem because all the researchers who worked on Invossa at Kolon TissueGene left the company, except for one person.Kolon TissueGene mainly developed the early-stage substances for Invossa, and the team came from Kolon’s central research lab. The research team successfully developed cells to make them secrete TGF-β. Then, the team set up Kolon TissueGene in the U.S. to build the master cell bank to commercialize the cell gene therapy.In Korea, Kolon Life Science sought approval for clinical trials and marketing license based on the cell lines developed by Kolon TissueGene.Kolon Life Science’s R&D head Yoo Soo-hyun, Managing Director Kim, and Managing Director Choi Heon-sik joined Kolon Life Science after 2010. In other words, researchers at Kolon TissueGene may have the answer to solve the Invossa problem.Among them, TissueGene’s CTO Noh is the only researcher who still works at the company. Leading Kolon TissueGene’s R&D and clinical trials, Noh has been recently appointed as CEO after former CEO Lee Bum-sup abruptly resigned.Kolon Life Science CEO Lee told reporters that “no person was remaining at TissueGene who was involved in building the cell line in 2003. However, Noh, who led the early development of Invossa, is still working at TissueGeneNoh graduated from Seoul National University’s Microbiology Department, received Ph.D. in Life Science at KAIST, and entered Kolon Life Science.He researched Invossa as the head of the life science research team at Kolon’s central research institute, jointly with a research team at Inha University led by professor Lee Kwan-hee in the mid-1990s.As the joint research team successfully developed the drug candidate for Invossa, Noh’s name was registered as the inventor of the patent.Even though Noh is the only person within Kolon TissueGen who knows the best why the cell ingredients were mislabeled, he has not mentioned any word on the issue. Noh is reportedly focusing on response measures to the U.S. Food and Drug Administration.While he was busy dealing with the FDA in the U.S., rumors circulated in Korea that Kolon might have fabricated data to get Invossa approval or that the cells might not have been 293 cells but a third kind.The Ministry of Food and Drug Safety is worried that its investigation into Kolon TissueGene might be difficult. Only Kolon TissueGene, based in Rockville in the U.S., has the research data for Invossa’s early development and the master cell bank. The ministry has requested Kolon Life Science to visit TissueGene’s headquarters. If TissueGene refuses to cooperate, there is no way the ministry could push through further.“On the surface, Kolon is acting as if it is cooperating with the ministry’s investigation, but there is no concrete outcome,” an official at the food and drug safety said, questioning if the company would submit additional data as requested by the ministry.As Kolon Life Science takes care of all the local matters, Kolon TissueGene is a step away from the Invossa issue.“Speculations over the second cell ingredient are snowballing. Why can’t TissueGene clarify all the questions,” asked an official in the biotech industry? “It will be important for the company to resume trials in the U.S. In Korea, however, it is a matter of Invossa’s survival in the market.” ",Why is TissueGene CEO silent about Invossa mislabeling?,http://www.koreabiomed.com/news/articleView.html?idxno=5594
"A Korea-U.S. joint team has become the first in the world to find glucose-sensing neurons in the fruit fly's brain that directly function in the body's blood glucose level.The study, conducted by Korea Advanced Institute of Science and Technology and New York University, is the first of its kind to reveal how blood glucose-sensing neurons in the brain are involved in glucose regulation by activating insulin-producing tissues and inhibiting glucagon-producing tissue activity.The team, led by Professors Suh Seong-bae from KAIST and Oh Yang-kyun from NYU, expect that the research will open up new possibilities for the diagnosis and treatment of diabetes in the future.The prevalence of diabetes among Koreans is 14 percent, and the nation has recorded the fastest increase in diabetes patients in the world, as one in four Koreans is potential diabetes patients. The total number of diabetes patients also surpassed five million last year.Genetics and environmental factors exist, but most diabetic cases begin with decreased pancreatic insulin secretory function. Recent studies have also found that stress affects the diabetes process, as it makes it difficult for patients to control blood sugar. Researchers remain unclear, however, on which part of the brain function controls blood sugar levels.Suh's team had used fruit flies to study the presence of cells and receptors that detect glucose in the animal brain, as well as in the tongue and internal organs.Based on the study, the team predicted that there might be glucose-sensing neurons in the hypothalamus or posterior brain of the human brain as well. They then set out to examine how these cells sense glucose and give orders to different parts of the body.Through extensive screening of the entire brain neurons in the fruit fly, the team discovered a pair of neurons essential for determining the nutritional value of glucose. The researchers also found that these neurons activated in response to increased glucose levels in the body.They confirmed that these cells recognized glucose through a molecular system similar to human pancreatic cells. Such findings allowed the researchers to study glucose-sensing neurons to see which neurons and tissues they signal.Afterward, the team confirmed that the neurons form axons in the nerve tissue responsible for insulin production in fruit flies and in tissues that produce proteins that function as glucagon. The researchers also learned that a pair of glucose-sensing neurons could deliver nutritional information directly to tissues that produce hormones that are important for blood sugar control.To verify their theory, the team examined the physical and functional interactions between glucose-sensing neurons and two hormone-secreting tissues.The results demonstrated that when a pair of glucose-sensing neurons is activated, insulin-producing tissues are also activated, while glucagon-producing tissues are inhibited.In a situation where the team surpassed the glucose-sensing neurons, blood insulin levels decrease due to inhibition of insulin-producing tissues, and blood glucagon concentrations increase as the inhibition of glucagon-producing tissues disappears.By regulating the activity of only a pair of glucose-sensing neurons in the brain, it was possible to create fruit flies with diabetes artificially, according to its press release.Professor Suh said, ""The research allows us to change the paradigm of diagnosing and treating diabetes fundamentally. If the signals produced by the brain are found to play a fundamental role in regulating blood sugar in the body, it is possible to treat even treat obesity and metabolic diseases as well as diabetes.""The journal Nature published the results of the trial.",Korea-US researchers find brain neurons that control blood glucose levels,http://www.koreabiomed.com/news/articleView.html?idxno=6666
"Researchers at Korea Advanced Institute of Science and Technology (KAIST) have developed a sensor that can diagnose severe Alzheimer's disease with a drop of the patient's blood. Conventional diagnosis used positron emission tomography (PET) or magnetic resonance imaging (MRI) equipment. However, both test methods are costly, raising the need for a diagnostic technology that is accurate and cheaper.The team, led by Professors Park Chan-bum and Steve Park at the university, developed a high-density diagnostic sensor that aligns carbon nanotubes using Langmuir-Blodgett film technology.Langmuir-Blodgett film technology is a technique for producing monolayers of nanoparticles floating on a solution in the desired arrangement by controlling surface pressure. At the same time, carbon nanotubes are cylindrical carbon materials with a diameter of about nanometers.Alzheimer's disease is a neurodegenerative disease that causes dementia and is most common in older people. As of now, 10 percent of the world's population aged 65 or older suffers from this disease.""The sensitivity of the analyte measurement can be increased by reducing the resistance to a minimum when aligning the tubes rather than a randomizing the tubes,"" the team said.The researchers have confirmed that the developed sensor showed more than 100 times more sensitive than conventional carbon nanotube-based biosensors.The sensor can simultaneously measure four concentrations of Alzheimer's disease -- beta-amyloid 42, beta-amyloid 40, total-tau protein, and hyperphosphorylated tau protein.By using the developed sensor, the team compared the four biomarker concentrations by measuring the blood samples of Alzheimer's patients with healthy individuals. As a result, the team confirmed a sensitivity and specificity of 90 and 88.6 percent.""The measuring method is simpler and cheaper to manufacture than conventional sensors,"" the team said.Professor Park said, ""This study included patients with severe illness who had confirmed Alzheimer's disease. The team requires cohort research support to test the diagnostic potential of patients with mild cognitive impairment, which is the precursor for dementia.""",KAIST develops method to diagnose Alzheimer's with single blood drop,http://www.koreabiomed.com/news/articleView.html?idxno=7201
"Bioengineering company Genexine said Monday that it has partnered with Binex, a CDMO (contract development and manufacturing organization) biopharmaceutical company, to develop a vaccine for the new coronavirus.The two companies held a ceremony to launch a consortium on Friday, jointly with GenNBio, International Vaccine Institute, Korea Advanced Institute of Science and Technology (KAIST), Pohang University of Science and Technology (POSTECH).The consortium will develop a DNA vaccine using GX-19, Genexine’s drug candidate, to cope with COVID-19. The consortium plans to start the clinical trials from July.Genexine and Binex also signed a memorandum of understanding during the ceremony. The two companies synthesized a new antigen gene in February, and have begun to prepare to receive good manufacturing practice (GMP) certification.The two companies’ collaboration was based on their previous experiences in producing various DNA vaccines, including GX-188E, a cervical cancer vaccine.The companies will seek a procedure for rapid clinical approval as soon as they finish preparing clinical materials, and are planning to conduct clinical trials on healthy patients, too.Genexine and Binex plan to build a platform to develop vaccines against other new viruses quickly.“The construction of a platform to commercialize DNA vaccines will mean not just the success of developing a COVID-19 DNA vaccine, but have a great impact on the new vaccine paradigm,” officials from both companies said.","Genexine, Binex to develop COVID-19 vaccine",http://www.koreabiomed.com/news/articleView.html?idxno=7727
"The Korea Advanced Institute of Science and Technology (KAIST) said it has developed an upgraded system to trace Covid-19 patients' movements without any risk of breaching individual privacy.The national research university worked on the upgraded Prevention System for Pandemic Disease Infection (PreSPI) based on a smartphone’s black box that can help individuals get the Covid-19 test, trace their contacts, and treat the disease.As the PreSPI used a black box of a smartphone to regularly collect and record signals coming from the global positioning system (GPS), wireless local area network (LAN), Bluetooth, barometer, and inertial sensors. It can minimize the risk of privacy infringement, KAIST said. The previous system, used for the disclosure of Covid-19 patients’ movement routes, came under fire because it extensively accessed to personal information such as credit card usage.Professor Han Dong-soo of the Computer Science Department of KAIST and his research team developed the latest PreSPI. The system collects signals from the GPS, Wi-Fi, Bluetooth, and inertial sensors and automatically discards the information after two weeks.Data stored in an individual smartphone’s black box cannot be disclosed. As the system reveals the movements of a Covid-19 patient through signals, not texts, it can protect privacy.The PreSPI comes in three versions -- “Self-Examination System for Virus Exposure” for ordinary people and “Epidemiologic Investigation System” and “Isolated Person Management System” for the health authorities.The Self-Examination System for Virus Exposure helps the user check the possibility of virus exposure by comparing whether or not the movements of Covid-19 patients overlap with the movements recorded in the smartphone’s black box.The Epidemiologic Investigation System shows signals recorded on a Covid-19 patient’s smartphone on a map, which can help an epidemiological investigator identify the movements. This system uses the KAIST Locating System (KAILOS), an indoor/outdoor integrated location tracker developed by Han for over a decade, to identify the movements of a confirmed patient even inside a building.The Isolated Person Management System analyzes signals collected by a smartphone’s black box in real-time to check whether the patient is out of the isolated zone. It uses both GPS and wireless LAN signals to check whether the patient is out of a room, as well as out of a building.“More than 30 kinds of smartphones are being used for contact tracing. As different smartphones use different sensors, we’re testing the new system in various smartphones,” Han said. “As soon as we complete this work, we will launch the system.”KAIST President Shin Sung-chul said that the PreSPI could drastically save the energy and time of workers in the disease control area, including doctors and nurses who are under great pressure because of the resurge of Covid-19. ",KAIST develops contact tracing system without privacy breach,http://www.koreabiomed.com/news/articleView.html?idxno=8462
