contents,titles,urls
"Standing upright and walking alone are very simple but noble motions that separate humans from many other creatures. Wearable and prosthetic technologies have emerged to augment human function in locomotion and manipulation. However, advances in wearable robot technology have been especially momentous to Byoung-Wook Kim, a triplegic for 22 years following a devastating car accident.﻿      Kim rejoiced after standing upright and walking again by putting on the ‘WalkON Suit,’ the wearable robot developed by Professor Kyoungchul Kong’s team. Even more, Kim won third prize in the powered exoskeleton race at Cybathlon 2016, an international cyborg Olympics hosted by ETH Zurich.      Now Kim and Professor Kong’s team are all geared up for the Cybathlon Championship 2020. Professor Kong and his startup, Angel Robotics, held a kickoff ceremony for Cybathlon 2020 at KAIST on June 24. The 2020 championship will take place in Switzerland.      Only pilots with complete paralysis of the legs resulting from spinal cord injuries are eligible to participate in the Cybathlon, which takes place every four years. Pilots compete against each other while completing everyday tasks using technical assistance systems in six different disciplines: a brain-computer interface race, a functional electrical stimulation bike race, a powered arm prosthesis race, a powered leg prosthesis race, a powered exoskeleton race, and a powered wheelchair race. The 2016 championship drew 66 pilots from 56 teams representing 25 countries.      In the powered exoskeleton race, pilots complete everyday activities such as getting up from a sofa and overcoming obstacles such as stairs, ramps, or slopes and up to four pilots compete simultaneously on tracks to solve six tasks; and the pilot that solves the most tasks in the least amount of time wins the race.      (Kim, a triplegic for 22 years demonstrates walking and climbing the stairs (below photo) wearing    the WalkOn Suit during the media day for the Cybathlon 2020 kickoff ceremony on June 21 at KAIST.)    Kim, who demonstrated walking and climbing the stairs wearing the WalkON Suit during the media day for the Cybathlon 2020 kickoff ceremony on June 21 at KAIST, said, “I have been confined to a wheelchair for more than 20 years. I am used to it so I feel like the wheelchair is one of my body parts. Actually, I don’t feel any big difficulties in doing everyday tasks in wheelchair. But whenever I face the fact that I will never be able to stand up with my own two legs again, I am so devastated.”    He continued, “I still remember the day when I stood up with my own two legs by myself after 22 years by wearing this robot. It was beyond description.”    The market for wearable robots, especially for exoskeleton robots, is continuing to grow as the aging population has been a major challenge in almost every advanced country. The global market for these robots expects to see annual growth of 41.2% to 8.3 billion US dollars by 2025. Healthcare wearable robots for the elderly and rehabilitation take up the half of the market share followed by wearable robots for industrial and defense purposes.      Professor Kong from the Department of Mechanical Engineering and his colleagues have developed two wearable robot systems in 2014: The WalkON Suit for complete paraplegics and “Angel Suit” for those with partial impairment in walking ability such as the elderly and rehabilitation patients.      Professor Kong said after 15 years of basic research, the team is now able to develop its own distinct technologies. He said their robots are powered by non-resistant precision drives with algorithms recognizing the user’s moving intention. Incorporated with prosthetic devices technology from the Severance Rehabilitation Hospital, their control technology has led to the production of a customizable robot suit optimized for each user’s physical condition.      The WalkON Suit, which boasts a maximum force of 250 Nm and maximum rotation speed of 45 RPM, gives the user high-energy efficiency modeled after the physiology of the human leg. It allows users to walk on flat ground and down stairs, climb up and down inclines, and sit and lie down. Currently the battery lasts five to six hours for locomotion and the approximate 25 kg of robot weight still remains a technical challenge to upgrade.      Professor Kong’s team has grafted AR glass technology into the WalkOn Suit that one of his pilots put on for the torch relay of the PyongChang Paralympics in 2018. His team is now upgrading the WalkON Suit 4.0 for next year’s competition. Severance Rehabilitation Hospital will help the seven pilots with their training.      Professor Kong said his goal is to make robots that can make people with disabilities much more independent. He stressed, “Wearable robots should be designed for each single user. We provide a very good graphical user interface so that we can design, check, and also verify our optimized design for customers’ best performance.”    (Seven pilots and Professor Kong (fifth from left in second row) pose with guests who joined the Cybathlon 2020 kickoff ceremony. President Shin (fifth from right) made a congratulatory remarks during the ceremony.)  ",Wearable Robot ‘WalkON Suit’ Off to Cybathlon 2020,https://www.miragenews.com/wearable-robot-walkon-suit-off-to-cybathlon-2020/
"Researchers have developed a soft neural implant that can be wirelessly controlled using a smartphone. It is the first wireless neural device capable of indefinitely delivering multiple drugs and multiple colour lights, which neuroscientists believe can speed up efforts to uncover brain diseases such as Parkinson’s, Alzheimer’s, addiction, depression, and pain.    A team under Professor Jae-Woong Jeong from the School of Electrical Engineering at KAIST and his collaborators have invented a device that can control neural circuits using a tiny brain implant controlled by a smartphone. The device, using Lego-like replaceable drug cartridges and powerful, low-energy Bluetooth, can target specific neurons of interest using drugs and light for prolonged periods. This study was published in Nature Biomedical Engineering.      “This novel device is the fruit of advanced electronics design and powerful micro and nanoscale engineering,” explained Professor Jeong. “We are interested in further developing this technology to make a brain implant for clinical applications.”      This technology significantly overshadows the conventional methods used by neuroscientists, which usually involve rigid metal tubes and optical fibers to deliver drugs and light. Apart from limiting the subject’s movement due to bulky equipment, their relatively rigid structure causes lesions in soft brain tissue over time, therefore making them not suitable for long-term implantation. Although some efforts have been made to partly mitigate adverse tissue response by incorporating soft probes and wireless platforms, the previous solutions were limited by their inability to deliver drugs for long periods of time as well as their bulky and complex control setups.      To achieve chronic wireless drug delivery, scientists had to solve the critical challenge of the exhaustion and evaporation of drugs. To combat this, the researchers invented a neural device with a replaceable drug cartridge, which could allow neuroscientists to study the same brain circuits for several months without worrying about running out of drugs.      These ‘plug-n-play’ drug cartridges were assembled into a brain implant for mice with a soft and ultrathin probe (with the thickness of a human hair), which consisted of microfluidic channels and tiny LEDs (smaller than a grain of salt), for unlimited drug doses and light delivery.      Controlled with an elegant and simple user interface on a smartphone, neuroscientists can easily trigger any specific combination or precise sequencing of light and drug delivery in any implanted target animal without the need to be physically inside the laboratory. Using these wireless neural devices, researchers can also easily setup fully automated animal studies where the behaviour of one animal could affect other animals by triggering light and/or drug delivery.      “The wireless neural device enables chronic chemical and optical neuromodulation that has never been achieved before,” said lead author Raza Qazi, a researcher with KAIST and the University of Colorado Boulder.      This work was supported by grants from the National Research Foundation of Korea, US National Institute of Health, National Institute on Drug Abuse, and Mallinckrodt Professorship.    (A neural implant with replaceable drug cartridges and Bluetooth low-energy can target specific neurons﻿﻿.)",Manipulating Brain Cells by Smartphone,https://www.miragenews.com/manipulating-brain-cells-by-smartphone/
"(Prof.Yuk and his two PhD candidates Parks)    Researchers presented a new strategy for extending sodium ion batteries’ cyclability using copper sulfide as the electrode material. This strategy has led to high-performance conversion reactions and is expected to advance the commercialization of sodium ion batteries as they emerge as an alternative to lithium ion batteries.    Professor Jong Min Yuk’s team confirmed the stable sodium storage mechanism using copper sulfide, a superior electrode material that is pulverization-tolerant and induces capacity recovery. Their findings suggest that when employing copper sulfide, sodium ion batteries will have a lifetime of more than five years with one charge per a day. Even better, copper sulfide, composed of abundant natural materials such as copper and sulfur, has better cost competitiveness than lithium ion batteries, which use lithium and cobalt.    Intercalation-type materials such as graphite, which serve as commercialized anode materials in lithium ion batteries, have not been viable for high-capacity sodium storage due to their insufficient interlayer spacing. Thus, conversion and alloying reactions type materials have been explored to meet higher capacity in the anode part. However, those materials generally bring up large volume expansions and abrupt crystallographic changes, which lead to severe capacity degradation.    The team confirmed that semi-coherent phase interfaces and grain boundaries in conversion reactions played key roles in enabling pulverization-tolerant conversion reactions and capacity recovery, respectively.    Most of conversion and alloying reactions type battery materials usually experience severe capacity degradations due to having completely different crystal structures and large volume expansion before and after the reactions. However, copper sulfides underwent a gradual crystallographic change to make the semi-coherent interfaces, which eventually prevented the pulverization of particles. Based on this unique mechanism, the team confirmed that copper sulfide exhibits a high capacity and high cycling stability regardless of its size and morphology.    Professor Yuk said, “Sodium ion batteries employing copper sulfide can advance sodium ion batteries, which could contribute to the development of low-cost energy storage systems and address the micro-dust issue”    This study was posted in Advanced Science on April 26 online and selected as the inside back cover for June issue.﻿﻿﻿",High-Performance Sodium Ion Batteries Using Copper Sulfide,https://www.miragenews.com/high-performance-sodium-ion-batteries-using-copper-sulfide/
"Researchers reported the fabrication of microstructure arrays of DNA materials using topographic control. This method provides a platform for forming multiscale hierarchical orientations of soft and biomaterials using a process of simple shearing and controlled evaporation on a patterned substrate. This approach enables the potential of patterning applications using DNA or other anisotropic biomaterials.    DNA is one of the most abundant biomaterials found in all living organisms in nature. It has unique characteristics of fine feature size and liquid crystalline phase, enabling to create various kinds of microstructure DNA arrays. Based on these characteristics, DNA has been used as a building block for “origami” and textile art at the nanometer scale.      A KAIST research team led by Professors Dong Ki Yoon and Hyungsoo Kim fabricated a DNA-based micropatch using the “coffee ring effect” and its multi-angle control technology, which was published online in Nature Communications on June 7.      The research team used cheap DNA material extracted from salmon to realize the micropatch structure with well-aligned knit or ice cream cone shapes. When the DNA material in an aqueous solution is rubbed between two solid substrates while water is evaporating, DNA chains are unidirectionally aligned to make a thin film such as in LCD display devices. The DNA chains can make more complex microstructures such as knit or a texture with ice cream cone shapes when the same procedure is carried out in topographical patterns like microposts (Figure 1). This can be applied to make metamaterials by mixing with functionalized gold nanorods to show plasmonic color.Plasmon resonance is a phenomenon in which electrons vibrate uniformly on the surface of a substrate made of metal, reacting only to light that matches a specific energy to enhance the clarity and expression of colors. For this, the most important factor is the orientation in which the gold nanorods align. That is, when the rods are aligned side by side in one direction, the optical and electrical characteristics are maximized. The research team focused on this point and made the DNA micropatch as a frame to orient the gold nanorods in a unique shape and fabricated a plasmonic color film (Figure 2).Professor Yoon said this study is meaningful in that it deals with the evaporation phenomenon, which has not been studied much in the field of polymers and biopolymers in terms of basic science. He explained, “This will also help maximize the efficiency of polymeric materials that can be orientated in coating, 2D, and 3D printing applications. Furthermore, DNA that exists infinitely in nature can be expected to have industrial application value as a new material since it can easily form complexes with other materials as described in this study.”﻿﻿﻿﻿",Micropatch Made of DNA,https://www.miragenews.com/micropatch-made-of-dna/
"                   (Figure: Uniformly ordered single-crystalline graphene quantum dots of                  various sizes synthesized through solution chemistry.)A KAIST team has designed a novel strategy for synthesizing single-crystalline graphene quantum dots, which emit stable blue light. The research team confirmed that a display made of their synthesized graphene quantum dots successfully emitted blue light with stable electric pressure, reportedly resolving the long-standing challenges of blue light emission in manufactured displays. The study, led by Professor O Ok Park in the Department of Chemical and Biological Engineering, was featured online in Nano Letters on July 5.Graphene has gained increased attention as a next-generation material for its heat and electrical conductivity as well as its transparency. However, single and multi-layered graphene have characteristics of a conductor so that it is difficult to apply into semiconductor. Only when downsized to the nanoscale, semiconductor’s distinct feature of bandgap will be exhibited to emit the light in the graphene. This illuminating featuring of dot is referred to as a graphene quantum dot.Conventionally, single-crystalline graphene has been fabricated by chemical vapor deposition (CVD) on copper or nickel thin films, or by peeling graphite physically and chemically. However, graphene made via chemical vapor deposition is mainly used for large-surface transparent electrodes. Meanwhile, graphene made by chemical and physical peeling carries uneven size defects.The research team explained that their graphene quantum dots exhibited a very stable single-phase reaction when they mixed amine and acetic acid with an aqueous solution of glucose. Then, they synthesized single-crystalline graphene quantum dots from the self-assembly of the reaction intermediate. In the course of fabrication, the team developed a new separation method at a low-temperature precipitation, which led to successfully creating a homogeneous nucleation of graphene quantum dots via a single-phase reaction.Professor Park and his colleagues have developed solution phase synthesis technology that allows for the creation of the desired crystal size for single nanocrystals down to 100 nano meters. It is reportedly the first synthesis of the homogeneous nucleation of graphene through a single-phase reaction.Professor Park said, “This solution method will significantly contribute to the grafting of graphene in various fields. The application of this new graphene will expand the scope of its applications such as for flexible displays and varistors.”This research was a joint project with a team from Korea University under Professor Sang Hyuk Im from the Department of Chemical and Biological Engineering, and was supported by the National Research Foundation of Korea, the Nano-Material Technology Development Program from the Electronics and Telecommunications Research Institute (ETRI), KAIST EEWS, and the BK21+ project from the Korean government. ﻿ ﻿",Synthesizing Single-Crystalline Hexagonal Graphene Quantum Dots,https://www.miragenews.com/synthesizing-single-crystalline-hexagonal-graphene-quantum-dots/
(Figure: Overall scheme of DeepEC),Deep Learning-Powered ‘DeepEC’ Helps Accurately Understand Enzyme Functions,https://www.miragenews.com/deep-learning-powered-deepec-helps-accurately-understand-enzyme-functions/
"    KAIST researchers have developed mobile software platform technology that allows a mobile application (app) to be executed simultaneously and more dynamically on multiple smart devices. Its high flexibility and broad applicability can help accelerate a shift from the current single-device paradigm to a multiple one, which enables users to utilize mobile apps in ways previously unthinkable.    Recent trends in mobile and IoT technologies in this era of 5G high-speed wireless communication have been hallmarked by the emergence of new display hardware and smart devices such as dual screens, foldable screens, smart watches, smart TVs, and smart cars. However, the current mobile app ecosystem is still confined to the conventional single-device paradigm in which users can employ only one screen on one device at a time. Due to this limitation, the real potential of multi-device environments has not been fully explored.    A KAIST research team led by Professor Insik Shin from the School of Computing, in collaboration with Professor Steve Ko’s group from the State University of New York at Buffalo, has developed mobile software platform technology named FLUID that can flexibly distribute the user interfaces (UIs) of an app to a number of other devices in real time without needing any modifications. The proposed technology provides single-device virtualization, and ensures that the interactions between the distributed UI elements across multiple devices remain intact.    This flexible multimodal interaction can be realized in diverse ubiquitous user experiences (UX), such as using live video steaming and chatting apps including YouTube, LiveMe, and AfreecaTV. FLUID can ensure that the video is not obscured by the chat window by distributing and displaying them separately on different devices respectively, which lets users enjoy the chat function while watching the video at the same time.    In addition, the UI for the destination input on a navigation app can be migrated into the passenger’s device with the help of FLUID, so that the destination can be easily and safely entered by the passenger while the driver is at the wheel.    FLUID can also support 5G multi-view apps – the latest service that allows sports or games to be viewed from various angles on a single device. With FLUID, the user can watch the event simultaneously from different viewpoints on multiple devices without switching between viewpoints on a single screen.    PhD candidate Sangeun Oh, who is the first author, and his team implemented the prototype of FLUID on the leading open-source mobile operating system, Android, and confirmed that it can successfully deliver the new UX to 20 existing legacy apps.    “This new technology can be applied to next-generation products from South Korean companies such as LG’s dual screen phone and Samsung’s foldable phone and is expected to embolden their competitiveness by giving them a head-start in the global market.” said Professor Shin.    This study will be presented at the 25th Annual International Conference on Mobile Computing and Networking (ACM MobiCom 2019) October 21 through 25 in Los Cabos, Mexico. The research was supported by the National Science Foundation (NSF) (CNS-1350883 (CAREER) and CNS-1618531).    Figure 1. Live video streaming and chatting app scenario    Figure 2. Navigation app scenario    Figure 3. 5G multi-view app scenario        Publication:    Sangeun Oh, Ahyeon Kim, Sunjae Lee, Kilho Lee, Dae R. Jeong, Steven Y. Ko, and Insik Shin. 2019. FLUID: Flexible User Interface Distribution for Ubiquitous Multi-device Interaction. To be published in Proceedings of the 25th Annual International Conference on Mobile Computing and Networking (ACM MobiCom 2019). ACM, New York, NY, USA. Article Number and DOI Name TBD.﻿﻿        Video Material:                        Profile: Prof. Insik Shin, MS, PhD",Flexible User Interface Distribution for Ubiquitous Multi-Device Interaction,https://www.miragenews.com/flexible-user-interface-distribution-for-ubiquitous-multi-device-interaction/
"    Researchers have designed plastic-based materials that can store natural gas more effectively. These new materials can not only make large-scale, cost-effective, and safe natural gas storage possible, but further hold a strong promise for combating global warming.    Natural gas (predominantly methane) is a clean energy alternative. It is stored by compression, liquefaction, or adsorption. Among these, adsorbed natural gas (ANG) storage is a more efficient, cheaper, and safer alternative to conventional compressed natural gas (CNG) and liquefied natural gas (LNG) storage approaches that have drawbacks such as low storage efficiency, high costs, and safety concerns. However, developing adsorptive materials that can more fully exploit the advantages of ANG storage has remained a challenging task.    A KAIST research team led by Professor Cafer T. Yavuz from the Graduate School of Energy, Environment, Water, and Sustainability (EEWS), in collaboration with Professor Mert Atilhan’s group from Texas A&M University, synthesized 29 unique porous polymeric structures with inherent flexibility, and tested their methane gas uptake capacity at high pressures. These porous polymers had varying synthetic complexities, porosities, and morphologies, and the researchers subjected each porous polymer to pure methane gas under various conditions to study the ANG performances.    Of these 29 distinct chemical structures, COP-150 was particularly noteworthy as it achieved a high deliverable gravimetric methane working capacity when cycled between 5 and 100 bar at 273 K, which is 98% of the total uptake capacity. This result surpassed the target set by the United States Department of Energy (US DOE).    COP-150 is the first ever structure to fulfil both the gravimetric and volumetric requirements of the US DOE for successful vehicular use, and the total cost to produce the COP-150 adsorbent was only 1 USD per kilogram.    COP-150 can be produced using freely available and easily accessible plastic materials, and moreover, its synthesis takes place at room temperature, open to the air, and no previous purification of the chemicals is required. The pressure-triggered flexible structure of COP-150 is also advantageous in terms of the total working capacity of deliverable methane for real applications.    The research team believed that the increased pressure flexes the network structure of COP-150 showing “swelling” behavior, and suggested that the flexibility provides rapid desorption and thermal management, while the hydrophobicity and the nature of the covalently bonded framework allow these promising materials to tolerate harsh conditions.    This swelling mechanism of expansion-contraction solves two other major issues, the team noted. Firstly, when using adsorbents based on such a mechanism, unsafe pressure spikes that may occur due to temperature swings can be eliminated. In addition, contamination can also be minimized, since the adsorbent remains contracted when no gas is stored.    Professor Yavuz said, “We envision a whole host of new designs and mechanisms to be developed based on our concept. Since natural gas is a much cleaner fuel than coal and petroleum, new developments in this realm will help switching to the use of less polluting fuels.”    Professor Atilhan agreed the most important impact of their research is on the environment. “Using natural gas more than coal and petroleum will significantly reduce greenhouse gas emissions. We believe, one day, we might see vehicles equipped with our materials that are run by a cleaner natural gas fuel,” he added.    This study, reported in Nature Energy on July 8, was supported by National Research Foundation of Korea (NRF) grants ( NRF-2016R1A2B4011027, NRF-2017M3A7B4042140, and NRF-2017M3A7B4042235).    (END)  ",Enhanced Natural Gas Storage to Help Reduce Global Warming,https://www.miragenews.com/enhanced-natural-gas-storage-to-help-reduce-global-warming/
"KAIST medical scientists have developed an advanced method for perfectly detecting low-level somatic mutation in patients with intractable epilepsy. Their study showed that deep sequencing replicates of major focal epilepsy genes accurately and efficiently identified low-level somatic mutations in intractable epilepsy.According to the study, their diagnostic method could increase the accuracy up to 100%, unlike the conventional sequencing analysis, which stands at about 30% accuracy. This work was published in Acta Neuropathologica.Epilepsy is a neurological disorder common in children. Approximately one third of child patients are diagnosed with intractable epilepsy despite adequate anti-epileptic medication treatment.Somatic mutations in mTOR pathway genes, SLC35A2, and BRAF are the major genetic causes of intractable epilepsies. A clinical trial to target Focal Cortical Dysplasia type II (FCDII), the mTOR inhibitor is underway at Severance Hospital, their collaborator in Seoul, Korea. However, it is difficult to detect such somatic mutations causing intractable epilepsy because their mutational burden is less than 5%, which is similar to the level of sequencing artifacts. In the clinical field, this has remained a standing challenge for the genetic diagnosis of somatic mutations in intractable epilepsy.Professor Jeong Ho Lee’s team at the Graduate School of Medical Science and Engineering analyzed paired brain and peripheral tissues from 232 intractable epilepsy patients with various brain pathologies at Severance Hospital using deep sequencing and extracted the major focal epilepsy genes.They narrowed down target genes to eight major focal epilepsy genes, eliminating almost all of the false positive calls using deep targeted sequencing. As a result, the advanced method robustly increased the accuracy and enabled them to detect low-level somatic mutations in unmatched Formalin Fixed Paraffin Embedded (FFPE) brain samples, the most clinically relevant samples.Professor Lee conducted this study in collaboration with Professor Dong Suk Kim and Hoon-Chul Kang at Severance Hospital of Yonsei University. He said, “This advanced method of genetic analysis will improve overall patient care by providing more comprehensive genetic counseling and informing decisions on alternative treatments.”Professor Lee has investigated low-level somatic mutations arising in the brain for a decade. He is developing innovative diagnostics and therapeutics for untreatable brain disorders including intractable epilepsy and glioblastoma at a tech-startup called SoVarGen. “All of the technologies we used during the research were transferred to the company. This research gave us very good momentum to reach the next phase of our startup,” he remarked.The work was supported by grants from the Suh Kyungbae Foundation, a National Research Foundation of Korea grant funded by the Ministry of Science and ICT, the Korean Health Technology R&D Project from the Ministry of Health & Welfare, and the Netherlands Organization for Health Research and Development.(Figure: Landscape of somatic and germline mutations identified in intractable epilepsy patients. a Signaling pathways for all of the mutated genes identified in this study. Bold: somatic mutation, Regular: germline mutation. b The distribution of variant allelic frequencies (VAFs) of identified somatic mutations. c The detecting rate and types of identified mutations according to histopathology. Yellow: somatic mutations, green: two-hit mutations, grey: germline mutations.) ﻿",Accurate Detection of Low-Level Somatic Mutation in Intractable Epilepsy,https://www.miragenews.com/accurate-detection-of-low-level-somatic-mutation-in-intractable-epilepsy/
"        Wearing a flower brooch that blooms before your eyes sounds like magic. KAIST researchers have made it real with robotic muscles.              Researchers from the Korea Advanced Institute of Science and Technology (KAIST) have developed an ultrathin, artificial muscle for soft robotics. The advancement, recently reported in the journal Science Robotics, was demonstrated with a robotic blooming flower brooch, dancing robotic butterflies and fluttering tree leaves on a kinetic art piece.              The robotic equivalent of a muscle that can move is called an actuator. The actuator expands, contracts or rotates like muscle fibers using a stimulus such as electricity. Engineers around the world are striving to develop more dynamic actuators that respond quickly, can bend without breaking, and are very durable. Soft, robotic muscles could have a wide variety of applications, from wearable electronics to advanced prosthetics.              The team from KAIST’s Creative Research Initiative Center for Functionally Antagonistic Nano-Engineering developed a very thin, responsive, flexible and durable artificial muscle. The actuator looks like a skinny strip of paper about an inch long. They used a particular type of material called MXene, which is class of compounds that have layers only a few atoms thick.              Their chosen MXene material (T3C2Tx) is made of thin layers of titanium and carbon compounds. It was not flexible by itself; sheets of material would flake off the actuator when bent in a loop. That changed when the MXene was “ionically cross-linked” – connected through an ionic bond – to a synthetic polymer. The combination of materials made the actuator flexible, while still maintaining strength and conductivity, which is critical for movements driven by electricity.              Their particular combination performed better than others reported. Their actuator responded very quickly to low voltage, and lasted for more than five hours moving continuously.              To prove the tiny robotic muscle works, the team incorporated the actuator into wearable art: an origami-inspired brooch mimics how a narcissus flower unfolds its petals when a small amount of electricity is applied. They also designed robotic butterflies that move their wings up and down, and made the leaves of a tree sculpture flutter.              “Wearable robotics and kinetic art demonstrate how robotic muscles can have fun and beautiful applications,” said Il-Kwon Oh, lead paper author and professor of mechanical engineering. “It also shows the enormous potential for small, artificial muscles for a variety of uses, such as haptic feedback systems and active biomedical devices.”              The team next plans to investigate more practical applications of MXene-based soft actuators and other engineering applications of MXene 2D nanomaterials.  ","Artificial Muscles Bloom, Dance, and Wave",https://www.miragenews.com/artificial-muscles-bloom-dance-and-wave/
