,title,content,url
0,Learning quadrupedal locomotion over challenging terrain,Legged locomotion can extend the operational domain of robots to some of the most challenging environments on Earth However conventional controllers for legged locomotion are based on elaborate state machines that explicitly trigger the execution of motion primitives and reflexes These designs have increased in complexity but fallen short of the generality and robustness of animal locomotion Here we present a robust controller for blind quadrupedal locomotion in challenging natural environments Our approach incorporates proprioceptive feedback in locomotion control and demonstrates zeroshot generalization from simulation to natural environments The controller is trained by reinforcement learning in simulation The controller is driven by a neural network policy that acts on a stream of proprioceptive signals The controller retains its robustness under conditions that were never encountered during training deformable terrains such as mud and snow dynamic footholds such as rubble and overground impediments such as thick vegetation and gushing water The presented work indicates that robust locomotion in natural environments can be achieved by training in simple domains,https://robotics.sciencemag.org/content/5/47/eabc5986
1,Electro-inductive effect: Electrodes as functional groups with tunable electronic properties,In place of functional groups that impose different inductive effects we immobilize molecules carrying thiol groups on a gold electrode By applying different voltages the properties of the immobilized molecules can be tuned The basecatalyzed saponification of benzoic esters is fully inhibited by applying a mildly negative voltage of –025 volt versus open circuit potential Furthermore the rate of a SuzukiMiyaura crosscoupling reaction can be changed by applying a voltage when the arylhalide substrate is immobilized on a gold electrode Finally a twostep carboxylic acid amidation is shown to benefit from a switch in applied voltage between addition of a carbodiimide coupling reagent and introduction of the amine,https://science.sciencemag.org/content/370/6513/214
2,Harnessing the topotactic transition in oxide heterostructures for fast and high-efficiency electrochromic applications,Mobile oxygen vacancies offer a substantial potential to broaden the range of optical functionalities of complex transition metal oxides due to their high mobility and the interplay with correlated electrons Here we report a large electroabsorptive optical variation induced by a topotactic transition via oxygen vacancy fluidic motion in calcium ferrite with largescale uniformity The coloration efficiency reaches 80 cm2 C−1 which means that a 300nmthick layer blocks 99 of transmitted visible light by the electrical switching By tracking the color propagation oxygen vacancy mobility can be estimated to be 10−8 cm2 s−1 V−1 near 300°C which is a giant value attained due to the mosaic pseudomonoclinic film stabilized on LaAlO3 substrate Firstprinciples calculations reveal that the defect density modulation associated with hole charge injection causes a prominent change in electron correlation resulting in the light absorption modulation Our findings will pave the pathway for practical topotactic electrochromic applications,https://advances.sciencemag.org/content/6/41/eabb8553
3,Characterization of ANGPT2 mutations associated with primary lymphedema,Primary lymphedema is caused by developmental and functional defects of the lymphatic vascular system that result in accumulation of proteinrich fluid in tissues resulting in edema The 28 currently known genes causing primary lymphedema can explain 30 of cases Angiopoietin 1 ANGPT1 and ANGPT2 function via the TIE1TIE2 tyrosine kinase with immunoglobulinlike and epidermal growth factor–like domains 1 and 2 receptor complex and α5β1 integrin to form an endothelial cell signaling pathway that is critical for blood and lymphatic vessel formation and remodeling during embryonic development as well as for homeostasis of the mature vasculature By screening a cohort of 543 individuals affected by primary lymphedema we identified one heterozygous de novo ANGPT2 wholegene deletion and four heterozygous ANGPT2 missense mutations Functional analyses revealed three missense mutations that resulted in decreased ANGPT2 secretion and inhibited the secretion of wildtype WT–ANGPT2 suggesting that they have a dominantnegative effect on ANGPT2 signaling WTANGPT2 and soluble mutants T299M and N304K activated TIE1 and TIE2 in an autocrine assay in human lymphatic endothelial cells Molecular modeling and biophysical studies showed that aminoterminally truncated ANGPT subunits formed asymmetrical homodimers that bound TIE2 in a 21 ratio The T299M mutant located in the dimerization interphase showed reduced integrin α5 binding and its expression in mouse skin promoted hyperplasia and dilation of cutaneous lymphatic vessels These results demonstrate that primary lymphedema can be associated with ANGPT2 mutations and provide insights into TIE1 and TIE2 activation mechanisms,https://stm.sciencemag.org/content/12/560/eaax8013
4,A Janus emitter for passive heat release from enclosures,Passive radiative cooling functions by reflecting the solar spectrum and emitting infrared waves in broadband or selectively However cooling enclosed spaces that trap heat by greenhouse effect remains a challenge We present a Janus emitter JET consisting of an Ag–polydimethylsiloxane layer on micropatterned quartz substrate The induced spoof surface plasmon polariton helps overcome inherent emissivity loss of the polymer and creates nearideal selective and broadband emission on the separate sides This design results in not only remarkable surface cooling when the JET is attached with either side facing outwards but also space cooling when used as an enclosure wall Thus the JET can passively mitigate the greenhouse effect in enclosures while offering surface cooling performance comparable to conventional radiative coolers,https://advances.sciencemag.org/content/6/36/eabb1906
5,Polymer blend directed anisotropic self-assembly toward mesoporous inorganic bowls and nanosheets,Anisotropic mesoporous inorganic materials have attracted great interest due to their unique and intriguing properties yet their controllable synthesis still remains a great challenge Here we develop a simple synthesis approach toward mesoporous inorganic bowls and twodimensional 2D nanosheets by combining block copolymer BCP–directed selfassembly with asymmetric phase migration in ternaryphase blends The homogeneous blend solution spontaneously selfassembles to anisotropically stacked hybrids as the solvent evaporates Two minor phases—BCPinorganic precursor and homopolystyrene hPS—form closely stacked Janus domains that are dispersedconfined in the major homopolymethyl methacrylate hPMMA matrix hPS phases are partially covered by BCPrich phases where ordered mesostructures develop With increasing the relative amount of hPS the anisotropic shape evolves from bowls to 2D nanosheets Benefiting from the unique bowllike morphology the resulting transition metal oxides show promise as highperformance anodes in potassiumion batteries,https://advances.sciencemag.org/content/6/33/eabb3814
6,Thermally assisted nanotransfer printing with sub–20-nm resolution and 8-inch wafer scalability,Nanotransfer printing nTP has attracted considerable attention due to its good pattern resolution process simplicity and costeffectiveness However the development of a largearea nTP process has been hampered by critical reliability issues related to the uniform replication and regular transfer printing of functional nanomaterials Here we present a very practical thermally assisted nanotransfer printing TnTP process that can easily produce wellordered nanostructures on an 8inch wafer via the use of a heatrolling press system that provides both uniform pressure and heat We also demonstrate various complex pattern geometries such as wave square nut zigzag and elliptical nanostructures on diverse substrates via TnTP Furthermore we demonstrate how to obtain a highdensity crossbar metalinsulatormetal memristive array using a combined method of TnTP and directed selfassembly We expect that the stateoftheart TnTP process presented here combined with other emerging patterning techniques will be especially useful for the largearea nanofabrication of various devices,https://advances.sciencemag.org/content/6/31/eabb6462
7,Anomalous absorption of electromagnetic waves by 2D transition metal carbonitride Ti3CNTx (MXene),Lightweight ultrathin and flexible electromagnetic interference EMI shielding materials are needed to protect electronic circuits and portable telecommunication devices and to eliminate crosstalk between devices and device components Here we show that a twodimensional 2D transition metal carbonitride Ti3CNTx MXene with a moderate electrical conductivity provides a higher shielding effectiveness compared with more conductive Ti3C2Tx or metal foils of the same thickness This exceptional shielding performance of Ti3CNTx was achieved by thermal annealing and is attributed to an anomalously high absorption of electromagnetic waves in its layered metamateriallike structure These results provide guidance for designing advanced EMI shielding materials but also highlight the need for exploring fundamental mechanisms behind interaction of electromagnetic waves with 2D materials,https://science.sciencemag.org/content/369/6502/446
8,One-step vapor-phase synthesis of transparent high refractive index sulfur-containing polymers,High refractive index polymers HRIPs have recently emerged as an important class of materials for use in a variety of optoelectronic devices including image sensors lithography and lightemitting diodes However achieving polymers having refractive index exceeding 18 while maintaining full transparency in the visible range still remains formidably challenging Here we present a unique onestep vaporphase process termed sulfur chemical vapor deposition to generate highly stable ultrahigh refractive index n  19 polymers directly from elemental sulfur The deposition process involved vaporphase radical polymerization between elemental sulfur and vinyl monomers to provide polymer films with controlled thickness and sulfur content along with the refractive index as high as 191 Notably the HRIP thin film showed unprecedented optical transparency throughout the visible range attributed to the absence of long polysulfide segments within the polymer which will serve as a key component in a wide range of optical devices,https://advances.sciencemag.org/content/6/28/eabb5320
9,Dynamic metal-polymer interaction for the design of chemoselective and long-lived hydrogenation catalysts,Metal catalysts are generally supported on hard inorganic materials because of their high thermochemical stabilities Here we support Pd catalysts on a thermochemically stable but “soft” engineering plastic polyphenylene sulfide PPS for acetylene partial hydrogenation Near the glass transition temperature 353 K the mobile PPS chains cover the entire surface of Pd particles via strong metalpolymer interactions The PdPPS interface enables H2 activation only in the presence of acetylene that has a strong binding affinity to Pd and thus can disturb the PdPPS interface Once acetylene is hydrogenated to weakly binding ethylene readsorption of PPS on the Pd surface repels ethylene before it is further hydrogenated to ethane The PdPPS interaction enables selective partial hydrogenation of acetylene to ethylene even in an ethylenerich stream and suppresses catalyst deactivation due to coke formation The results manifest the unique possibility of harnessing dynamic metalpolymer interaction for designing chemoselective and longlived catalysts,https://advances.sciencemag.org/content/6/28/eabb7369
